annotation,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,estimate,std.error,p.value.orig,fdr_significant
Thymus.DN1_thymic_pro-T_cell,3.751017813959826e-4,2.996925404320505e-4,2.211506582653122,4.974215051111864,0.987127725607619,2,-29333.816821881042,58673.633643762085,58696.11071303049,64831.93265600541,13256,-0.3693801523729856,0.1656194268906424,0.025744548784761973,FALSE
Limb_Muscle.endothelial_cell,3.79188427782048e-4,3.03779495104628e-4,2.2115020621301555,5.0284285205837636,0.9875245118119137,2,-29333.789721281297,58673.57944256259,58696.056511831,64831.66761140341,13256,-0.2792860818587577,0.1245469660988416,0.024950976376172534,FALSE
Liver.natural_killer_cell,3.896498759090892e-4,3.142417324174529e-4,2.211490489954802,5.167212158627292,0.988483472697595,2,-29333.72034567234,58673.44069134468,58695.91776061308,64830.989121,13256,-0.3590570929477547,0.15795572223566487,0.023033054604810105,FALSE
Heart.fibroblast,4.182267505078375e-4,3.4282076278535634e-4,2.211458878668425,5.546333429739446,0.9907330326696812,2,-29333.5308330192,58673.0616660384,58695.5387353068,64829.135731780894,13256,-0.2323123493026211,0.09864368993925816,0.01853393466063779,FALSE
Fat.T_cell,4.3332114742110307e-4,3.579162983827766e-4,2.2114421813030947,5.746595251462271,0.9917327996868377,2,-29333.430729640644,58672.86145928129,58695.33852854969,64828.15676564479,13256,-0.3287579834096314,0.1371421655744625,0.01653440062632453,FALSE
Fat.endothelial_cell,4.5818880623019567e-4,3.827858331467704e-4,2.211414672517115,6.076535015712339,0.9931442495187891,2,-29333.265808415934,58672.53161683187,58695.00868610027,64826.54394229065,13256,-0.2931567547049701,0.11892465574052104,0.013711500962421703,FALSE
Kidney.macrophage,4.662624039559521e-4,3.908600399249451e-4,2.2114057413707013,6.183657633913731,0.9935471206560121,2,-29333.212263786914,58672.42452757383,58694.90159684223,64826.020318934556,13256,-0.4319261139277015,0.17369477075734827,0.01290575868797582,FALSE
Kidney.epithelial_cell_of_proximal_tubule,4.6698185436424384e-4,3.9157954460666833e-4,2.2114049455010925,6.193203575142391,0.9935818193031191,2,-29333.207492323683,58672.41498464737,58694.89205391577,64825.97365807156,13256,-0.3025501117647263,0.12157370153400117,0.012836361393761798,FALSE
Pancreas.endothelial_cell,4.66997647946948e-4,3.915953393809346e-4,2.21140492802993,6.193413130549474,0.9935825788633467,2,-29333.207387579117,58672.414775158235,58694.89184442664,64825.97263375885,13256,-0.33626017748494935,0.13511713022597613,0.012834842273306737,FALSE
Brain_Myeloid.macrophage,4.8371425145299194e-4,4.083132039462978e-4,2.2113864357270994,6.415219250238397,0.9943369646445599,2,-29333.09652051315,58672.1930410263,58694.670110294705,64824.88845736961,13256,-0.37905002774111934,0.14965484481383684,0.011326070710880225,FALSE
Kidney.kidney_collecting_duct_epithelial_cell,4.981154818462888e-4,4.227155207330302e-4,2.2113705046208643,6.606309532410366,0.9949136884817982,2,-29333.001007868297,58672.002015736594,58694.479085005,64823.95444742179,13256,-0.3580227293144825,0.13929359265976288,0.010172623036403709,FALSE
Lung.leukocyte,5.212230327681976e-4,4.458248148316857e-4,2.211344942061814,6.912935703688035,0.9957163427702554,2,-29332.8477498023,58671.6954996046,58694.172568873,64822.455778083044,13256,-0.41632018720616254,0.1583420310688916,0.008567314459489132,FALSE
Brain_Non-Myeloid.endothelial_cell,5.31959965872244e-4,4.5656255790349487e-4,2.2113330643076154,7.055414505662111,0.996043969194621,2,-29332.776537172787,58671.553074345575,58694.03014361398,64821.759420754235,13256,-0.2958857130466106,0.11139423844981575,0.00791206161075792,FALSE
Thymus.leukocyte,5.467327814883872e-4,4.71336487944507e-4,2.211316721745858,7.251454359221714,0.9964533662436823,2,-29332.678555331917,58671.357110663834,58693.83417993224,64820.80131117846,13256,-0.49325603211770747,0.18317232000503067,0.007093267512635314,FALSE
Lung.lung_endothelial_cell,5.583673603635408e-4,4.8297194450352965e-4,2.2113038508020453,7.405852915522777,0.9967451553121808,2,-29332.601387069222,58671.202774138445,58693.67984340685,64820.046735901815,13256,-0.31443143682915187,0.11554161110789112,0.006509689375638484,FALSE
Fat.B_cell,5.756231966874381e-4,5.002290825653066e-4,2.211284761111977,7.6348558954454635,0.997133504319299,2,-29332.486933235443,58670.973866470886,58693.45093573929,64818.92758688855,13256,-0.41036176761152954,0.14851368346333113,0.005732991361401844,FALSE
Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine,5.992507750895627e-4,5.238584433737703e-4,2.2112586222594155,7.9484313782514064,0.997589977643526,2,-29332.33021395551,58670.66042791102,58693.13749717942,64817.39519051215,13256,-0.37699861834192466,0.13372082396790336,0.0048200447129479644,FALSE
Large_Intestine.enterocyte_of_epithelium_of_large_intestine,6.542681352567389e-4,5.788799539150347e-4,2.2111977561421408,8.678656569413535,0.9983874090533936,2,-29331.96527514602,58669.93055029204,58692.40761956044,64813.826970277114,13256,-0.27676283515832295,0.09394669781237006,0.0032251818932126468,FALSE
Lung.classical_monocyte,6.604918750160597e-4,5.851041631780296e-4,2.2111908706667847,8.761267040908255,0.9984588016042169,2,-29331.923990835672,58669.847981671344,58692.32505093975,64813.4233217909,13256,-0.4835890868830818,0.16337779589271353,0.0030823967915662286,FALSE
Trachea.blood_cell,7.264243193562832e-4,6.510415812995829e-4,2.211117926676005,9.636480951503076,0.9990442395916539,2,-29331.48662136458,58668.97324272916,58691.45031199756,64809.14719001494,13256,-0.38756471742273646,0.12484898036673595,0.001911520816692237,FALSE
Lung.myeloid_cell,7.948991713319216e-4,7.195215988493597e-4,2.211042167359306,10.545566076911717,0.9994162162825613,2,-29331.032356028398,58668.064712056796,58690.5417813252,64804.706167187454,13256,-0.5404729454854376,0.16643283488730531,0.0011675674348773737,FALSE
Pancreas.leukocyte,8.036306541663219e-4,7.282537403653366e-4,2.211032506820699,10.661495856518327,0.9994516677914786,2,-29330.974428729427,58667.948857458854,58690.42592672726,64804.13987586347,13256,-0.5226298952959887,0.160060871508015,0.0010966644170427296,FALSE
Limb_Muscle.mesenchymal_stem_cell,8.14612054605311e-4,7.392359692141026e-4,2.211020356906629,10.807301153645511,0.9994931818556058,2,-29330.901574077663,58667.803148155326,58690.28021742373,64803.42766329754,13256,-0.3466584165136771,0.1054491594094275,0.0010136362887884379,FALSE
Liver.hepatocyte,8.375692674947844e-4,7.621949139392514e-4,2.210994956636964,11.112125384629575,0.9995699994864272,2,-29330.74926489221,58667.49852978442,58689.97559905282,64801.93874432135,13256,-0.348029871172044,0.10440419621184213,8.600010271456389e-4,FALSE
Heart.endocardial_cell,8.378306624850289e-4,7.624563286484642e-4,2.2109946674232064,11.115596249270984,0.9995708027573822,2,-29330.74753065205,58667.4950613041,58689.9721305725,64801.921791219815,13256,-0.39562152320827604,0.11866250958015988,8.583944852355327e-4,FALSE
Limb_Muscle.lymphocyte,8.512814973222507e-4,7.759081781835153e-4,2.210979785042197,11.294202073756162,0.9996101548778796,2,-29330.658289698928,58667.316579397855,58689.79364866626,64801.049420373616,13256,-0.5732120906939647,0.17056407583013525,7.796902442408372e-4,FALSE
Liver.endothelial_cell_of_hepatic_sinusoid,9.168331602545363e-4,8.414647861718638e-4,2.2109072554096243,12.16469336659696,0.999755697211884,2,-29330.22336322526,58666.44672645052,58688.923795718925,64796.797984655794,13256,-0.40734146299153534,0.11679063930535476,4.886055762321363e-4,FALSE
Liver.Kupffer_cell,0.0011533110668532106,0.0010779605320815344,2.2106455846707393,15.305944016829406,0.999954057608888,2,-29328.654126902333,58663.308253804666,58685.78532307307,64781.46091197727,13256,-0.6254227855157025,0.15986141001578677,9.188478222405436e-5,FALSE
Heart.leukocyte,0.0012117122638559599,0.001136366134726785,2.210580957017208,16.081944459002226,0.9999695039019211,2,-29328.26652702592,58662.53305405184,58685.010123320244,64777.673228739426,13256,-0.5105838657294894,0.12732034541846968,6.099219615791996e-5,FALSE
Mammary_Gland.stromal_cell,0.0015105127310069636,0.0014351891426493957,2.2102502703045626,20.05364805291537,0.999996203560472,2,-29326.28307901852,58658.56615803704,58681.04322730545,64758.294147847744,13256,-0.4762023365186746,0.10633955231660434,7.592879055952022e-6,FALSE
Limb_Muscle.macrophage,0.0015382974999100447,0.0014629760075669518,2.210219517992702,20.42308844470248,0.999996869329778,2,-29326.098612583883,58658.197225167765,58680.67429443617,64756.49213164187,13256,-0.7224910129328287,0.15987175416741692,6.261340443805184e-6,FALSE
Heart.endothelial_cell,0.0018008442090508506,0.0017255425225849441,2.2099289089431973,23.91505812911901,0.9999994906899313,2,-29324.355279821386,58654.71055964277,58677.187628911175,64739.464333918535,13256,-0.6007471473447423,0.12284457914910865,1.018620137330292e-6,FALSE
Fat.myeloid_cell,0.001966710852167466,0.001891421678272831,2.2097452939221056,26.122093661417168,0.9999998375218146,2,-29323.25367466258,58652.50734932516,58674.984418593565,64728.706843728396,13256,-0.6162620453265234,0.12057615475668317,3.2495637071273644e-7,FALSE
Heart.erythrocyte,0.002113397810498866,0.0020381197023071618,2.209582898173144,28.074534034732746,0.9999999406994322,2,-29322.27929903483,58650.55859806966,58673.03566733807,64719.1932761682,13256,-0.5812371910078025,0.10969759767730253,1.186011355084505e-7,FALSE
Heart.professional_antigen_presenting_cell,0.002137907561790118,0.0020626313025536858,2.2095557624947415,28.40082096900048,0.9999999498806079,2,-29322.11647779211,58650.23295558422,58672.710024852626,64717.60366535722,13256,-0.6523082036690118,0.12240168412764989,1.002387841174354e-7,FALSE
