annotation,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,estimate,std.error,p.value.orig,fdr_significant
MEGLU6,0.0017546486102491283,0.0016834470873253737,2.2000547744987036,24.64341404790373,3.489528960533313e-7,2,-30951.454256691228,61908.908513382456,61931.553661793754,67860.17897133948,14020,0.5482860250544874,0.11044771606603407,6.979057921066626e-7,TRUE
MEGLU3,0.001718370075120956,0.00164716596456993,2.200094751664217,24.133017908992976,4.545995399083264e-7,2,-30951.709047948432,61909.418095896865,61932.06324430816,67862.64516653206,14020,0.6712070495921195,0.1366314544929853,9.091990798166528e-7,TRUE
TEGLU2,0.0017003480437492472,0.0016291426477467175,2.2001146107883844,23.879483005578724,5.184639340513105e-7,2,-30951.83561676193,61909.67123352386,61932.31638193516,67863.87029447542,14020,0.5009329161153849,0.10251020687063282,1.036927868102621e-6,TRUE
HBINH6,0.0016950611784684018,0.001623855405371244,2.2001204365412668,23.805108837967445,5.388525188106381e-7,2,-30951.872746008914,61909.74549201783,61932.39064042913,67864.2296927172,14020,0.56505605112902,0.1158127687280153,1.0777050376212762e-6,TRUE
TEINH20,0.0016712564865246176,0.0016000490155179126,2.200146667442761,23.47024073314069,6.41086524079309e-7,2,-30952.039922088035,61910.07984417607,61932.72499258737,67865.84792279803,14020,0.5594512650780957,0.11547912597115238,1.282173048158618e-6,TRUE
SCGLU2,0.001664607012901182,0.00159339906760958,2.200153994584731,23.376703345201502,6.729735752513866e-7,2,-30952.08661943559,61910.17323887118,61932.81838728248,67866.29995041782,14020,0.7557363093252412,0.15630708199902507,1.3459471505027732e-6,TRUE
TEGLU18,0.0016426777681169105,0.0015714682586851492,2.200178158533491,23.068235987405274,7.898462319759261e-7,2,-30952.240620032695,61910.48124006539,61933.12638847669,67867.79068861529,14020,0.4608644957246841,0.09595465742292947,1.5796924639518522e-6,TRUE
TEINH9,0.0016193476546750981,0.0015481364811839038,2.2002038658153493,22.740078210862766,9.366232060262692e-7,2,-30952.404454674434,61910.80890934887,61933.454057760166,67869.37665710629,14020,0.5686842899617692,0.11925463126561087,1.8732464120525384e-6,TRUE
HBINH8,0.0016178770949856838,0.0015466658166044533,2.2002054862042835,22.71939405895923,9.467427363549423e-7,2,-30952.41478148352,61910.82956296704,61933.47471137834,67869.47662495844,14020,0.6929903727406517,0.14538808932950636,1.8934854727098845e-6,TRUE
TEINH18,0.0016142885104795755,0.001543076976136537,2.2002094404098136,22.668919092559754,9.718999981635178e-7,2,-30952.439981775246,61910.87996355049,61933.52511196179,67869.72057499186,14020,0.4807177819161456,0.10096591395411571,1.9437999963270355e-6,TRUE
