annotation,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,estimate,std.error,p.value.orig,fdr_significant
Brain_Non-Myeloid.Bergmann glial cell,9.830640424519662e-5,2.287628251951279e-5,2.2118127437094635,1.3032778152300741,0.12681799070702543,2,-29335.652132873525,58677.30426574705,58699.781335015454,64849.884569050904,13256,0.1331558527759981,0.1166384551819596,0.25363598141405086,FALSE
Marrow.megakaryocyte-erythroid progenitor cell,4.8534016459779184e-5,-2.6899859972395745e-5,2.2118677920368977,0.6433981488871812,0.21124866473689213,2,-29335.98209825835,58677.9641965167,58700.441265785106,64853.112619991596,13256,0.08882202620375089,0.11073394504753344,0.42249732947378427,FALSE
Large_Intestine.enteroendocrine cell,2.5266855238420385e-5,-5.016877641095263e-5,2.2118935250784015,0.33494589606996933,0.28138550481487734,2,-29336.136341961752,58678.272683923504,58700.74975319191,64854.62164105748,13256,0.07078535795483519,0.12230834852032058,0.5627710096297547,FALSE
Marrow.common lymphoid progenitor,2.0753577322966474e-5,-5.4682394796889966e-5,2.2118985166439895,0.27511513061637954,0.2999648633378681,2,-29336.166261169503,58678.332522339006,58700.80959160741,64854.91435538502,13256,0.05062642312903428,0.09652059857411852,0.5999297266757362,FALSE
Pancreas.pancreatic D cell,2.0691989349012707e-5,-5.474398741700526e-5,2.2118985847585764,0.274298686596014,0.30023570028958246,2,-29336.166669444636,58678.33333888927,58700.810408157675,64854.9183497507,13256,0.047867079847189895,0.09139555404471475,0.6004714005791649,FALSE
Marrow.Slamf1-negative multipotent progenitor cell,2.0522832240603846e-5,-5.4913157286229364e-5,2.211898771841624,0.2720562475461729,0.3009822308607182,2,-29336.16779081022,58678.33558162044,58700.812650888845,64854.92932064816,13256,0.04874881560198523,0.09346192392571077,0.6019644617214364,FALSE
Thymus.immature T cell,4.993355368326182e-6,-7.04438056640111e-5,2.2119159469428364,0.06619224928395516,0.39848387382824,2,-29336.270737025807,58678.54147405161,58701.01854332002,64855.93650444336,13256,0.029772061471701514,0.11571917731873362,0.79696774765648,FALSE
Limb_Muscle.skeletal muscle satellite stem cell,4.912422753884338e-6,-7.052474438373757e-5,2.2119160364513517,0.06511939591949302,0.39929207856316995,2,-29336.271273530765,58678.54254706153,58701.01961632993,64855.941753430074,13256,0.0320950711941943,0.12577176680561483,0.7985841571263399,FALSE
Tongue.basal cell of epidermis,2.7476985060763586e-6,-7.268963193318712e-5,2.211918430555956,0.0364235914775961,0.42432315293569967,2,-29336.285623542764,58678.57124708553,58701.04831635393,64856.08214934949,13256,0.01626738400483162,0.08523664272047186,0.8486463058713993,FALSE
Limb_Muscle.skeletal muscle satellite cell,2.668666024379864e-7,-7.517065098450182e-5,2.2119211742606986,0.003537584625981138,0.4762863024543885,2,-29336.302069002246,58678.60413800449,58701.081207272895,64856.243046829324,13256,0.006341496435573734,0.10661991544304361,0.952572604908777,FALSE
Heart.unknown cell type,4.5935392825081427e-8,-7.5391598860719e-5,2.2119214186019605,6.089195952602402e-4,0.4901567668127922,2,-29336.303533555456,58678.60706711091,58701.084136379315,64856.25737560137,13256,0.003248624948945903,0.13164961709223158,0.9803135336255844,FALSE
Marrow.macrophage,3.98720638092356e-7,-7.503878700210187e-5,2.211921028435288,0.005285442885967432,0.5289774456731893,2,-29336.301194941552,58678.602389883104,58701.07945915151,64856.234495269666,13256,-0.008760805157410196,0.12050451787611556,0.9420451086536216,FALSE
