annotation,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,estimate,std.error,p.value.orig,fdr_significant
Spleen.B cell,1.0949727750989253e-4,3.400535582454012e-5,2.2680072098669837,1.4504502609732668,0.8857613806394393,2,-29643.667702958945,59293.33540591789,59315.809985089945,68130.38204459418,13245,-0.16692904248618523,0.1386055057941705,0.22847723872112133,FALSE
Spleen.T cell,1.309730735925935e-4,5.548277333389251e-5,2.267982853439076,1.73496559351026,0.9060996140184109,2,-29643.525440918682,59293.050881837364,59315.52546100942,68128.91873017342,13245,-0.1839571023572462,0.13965970705799846,0.18780077196317815,FALSE
Mammary_Gland.luminal epithelial cell of mammary gland,1.350902454019962e-4,5.9600255990610584e-5,2.2679781839851625,1.78951204597088,0.9094957025977297,2,-29643.498167202935,59292.99633440587,59315.47091357793,68128.63819496725,13245,-0.13608315768886145,0.10172719395157048,0.18100859480454057,FALSE
Lung.epithelial cell of lung,1.3991058184707948e-4,6.442095637193557e-5,2.2679727170310935,1.8533749633340686,0.9132927329808211,2,-29643.46623531384,59292.93247062768,59315.40704979974,68128.30974763958,13245,-0.17894016610381533,0.1314395883133555,0.17341453403835777,FALSE
Lung.B cell,1.4698926146015684e-4,7.150017042667489e-5,2.2679646887675298,1.9471589795001196,0.9185416395228939,2,-29643.41934295272,59292.83868590544,59315.31326507749,68127.82742167979,13245,-0.2335921940211859,0.16740083499697345,0.16291672095421214,FALSE
Lung.unknown cell type,1.476355436368799e-4,7.21465013977518e-5,2.267963955787093,1.9557215094787284,0.9190024757789687,2,-29643.415061672036,59292.83012334407,59315.30470251613,68127.78338540632,13245,-0.23771888605157154,0.16998483591379349,0.16199504844206275,FALSE
Marrow.pre-natural killer cell,1.5346498641975522e-4,7.79763843047343e-5,2.267957344318313,2.0329557326535617,0.9230277121485149,2,-29643.376444543945,59292.75288908789,59315.227468259945,68127.38617974949,13245,-0.21065436457851167,0.14774285963557815,0.15394457570297027,FALSE
Trachea.epithelial cell,1.5648512928052223e-4,8.099675518691285e-5,2.2679539190124713,2.072969926287427,0.9250235282898809,2,-29643.356437527113,59292.712875054225,59315.18745422628,68127.18039372955,13245,-0.1612943600805292,0.11202699355188926,0.14995294342023827,FALSE
Marrow.immature NK T cell,1.5949882441004058e-4,8.401067785090977e-5,2.26795050101419,2.1128989342070907,0.9269569575279847,2,-29643.336473163214,59292.67294632643,59315.14752549848,68126.97504704409,13245,-0.2713971506385834,0.18670928753621452,0.14608608494403072,FALSE
Skin.basal cell of epidermis,1.6832437540559547e-4,9.283689517725069e-5,2.2679404914391887,2.229831687273132,0.9323037935182523,2,-29643.278007543006,59292.55601508601,59315.03059425807,68126.3736930364,13245,-0.15979548540061853,0.10701101021142094,0.1353924129634954,FALSE
Pancreas.pancreatic stellate cell,1.8088257884667214e-4,1.0539604676496062e-4,2.267926248367974,2.396223191854607,0.9391737636949228,2,-29643.194813756585,59292.38962751317,59314.864206685226,68125.51800414255,13245,-0.19877315454061967,0.1284085956968961,0.12165247261015451,FALSE
Fat.natural killer cell,1.8445475909525477e-4,1.0896849671393483e-4,2.2679221969108427,2.4435540093827863,0.9409837616615446,2,-29643.171149097914,59292.34229819583,59314.816877367884,68125.27460348577,13245,-0.28514232190398203,0.18241086820793737,0.11803247667691066,FALSE
Trachea.endothelial cell,1.8725459113264057e-4,1.117685401391677e-4,2.2679190214222738,2.4806515729478598,0.9423608095062975,2,-29643.15260096316,59292.30520192632,59314.779781098376,68125.08382897012,13245,-0.18702920918395083,0.1187480682190316,0.115278380987405,FALSE
Thymus.DN1 thymic pro-T cell,1.8962201260220972e-4,1.141361403494967e-4,2.2679163363578025,2.512019891183731,0.9434975452308032,2,-29643.136917391676,59292.27383478335,59314.74841395541,68124.92251797782,13245,-0.2632769678230859,0.1661121236664093,0.11300490953839368,FALSE
Marrow.B cell,2.03497373679336e-4,1.280125490189521e-4,2.267900599240079,2.6958713171156155,0.9496838917100098,2,-29643.044995869517,59292.089991739034,59314.56457091109,68123.97708080383,13245,-0.30867727158337904,0.18799879855301957,0.10063221657998045,FALSE
Kidney.endothelial cell,2.0422427300366842e-4,1.2873950322445094e-4,2.267899774804452,2.705503025322044,0.9499868673369513,2,-29643.04018027012,59292.08036054024,59314.554939712296,68123.92755145184,13245,-0.2181483229413189,0.13262575421531211,0.10002626532609755,FALSE
Kidney.kidney collecting duct epithelial cell,2.1984106796351345e-4,1.4435747725516368e-4,2.2678820624551213,2.912435218045445,0.9560387497663261,2,-29642.936720491853,59291.873440983705,59314.34802015576,68122.86345672942,13245,-0.22991133908254716,0.13472005576134255,0.08792250046734777,FALSE
Marrow.precursor B cell,2.2172552314981864e-4,1.4624207471813921e-4,2.2678799251231836,2.937405851968579,0.9567134857786519,2,-29642.92423604657,59291.84847209314,59314.32305126519,68122.73505401789,13245,-0.2090915598229203,0.12199850944920014,0.08657302844269615,FALSE
Marrow.granulocyte,2.281462031358466e-4,1.5266323946672156e-4,2.2678726428312017,3.022486029245892,0.958929633675852,2,-29642.881699104593,59291.76339820919,59314.23797738124,68122.29756273335,13245,-0.19896816429461642,0.11444621708789991,0.08214073264829598,FALSE
Lung.monocyte,2.354051761590615e-4,1.5992276054377363e-4,2.2678644097247416,3.118675710631814,0.9612886518956508,2,-29642.83360815046,59291.66721630092,59314.14179547298,68121.8029519695,13245,-0.257665734423998,0.14590546498644935,0.07742269620869828,FALSE
Skin.epidermal cell,2.6592204954015104e-4,1.9044193795458852e-4,2.267829797247198,3.5230744093269113,0.9697289746947219,2,-29642.631428960638,59291.262857921276,59313.73743709333,68119.72359804364,13245,-0.1958524411478184,0.1043441441270015,0.06054205061055632,FALSE
Pancreas.endothelial cell,2.78643811155639e-4,2.0316466006553568e-4,2.267815367969211,3.69166593862309,0.9726467965895429,2,-29642.547143423075,59291.09428684615,59313.568866018206,68118.8567646486,13245,-0.275452740859629,0.1433626106232904,0.054706406820914134,FALSE
Marrow.immature T cell,2.9199592645742323e-4,2.1651778345455064e-4,2.2678002236326447,3.8686156659440556,0.9753910363995503,2,-29642.458680447126,59290.91736089425,59313.39194006631,68117.94698031308,13245,-0.312216485203417,0.15873695212151112,0.04921792720089938,FALSE
Marrow.mature natural killer cell,3.159489739275268e-4,2.4047263938420382e-4,2.267773055173668,4.186066743162388,0.9796113695570866,2,-29642.29997919639,59290.59995839278,59313.07453756483,68116.31487132632,13245,-0.3662220418672568,0.17899520845631922,0.04077726088582677,FALSE
Thymus.leukocyte,3.2912097289391985e-4,2.5364563283902797e-4,2.2677581148519206,4.360642464870449,0.9816012578058653,2,-29642.212706312675,59290.42541262535,59312.89999179741,68115.41735972937,13245,-0.3796806542195006,0.18182065976357917,0.03679748438826944,FALSE
Mammary_Gland.endothelial cell,3.293827829285441e-4,2.539074626403126e-4,2.2677578178932505,4.364112423383594,0.9816386810000786,2,-29642.210971642766,59290.42194328553,59312.89652245759,68115.39952055835,13245,-0.3210666332649798,0.15369056567884676,0.03672263799984283,FALSE
Heart.cardiac muscle cell,3.39527038460554e-4,2.6405248406558e-4,2.267746311716739,4.498563008185536,0.9830290619836424,2,-29642.143758686543,59290.287517373086,59312.76209654514,68114.70831286804,13245,-0.24610243239863672,0.11603232707899637,0.033941876032715354,FALSE
Lung.stromal cell,3.6122017702824735e-4,2.8574726046926013e-4,2.2677217059614865,4.786090077044039,0.9856460505707286,2,-29642.00002382233,59290.00004764466,59312.474626816715,68113.23018919915,13245,-0.22510608683921934,0.10289560010865699,0.028707898858542812,FALSE
Limb_Muscle.endothelial cell,3.777816293135519e-4,3.023099631473958e-4,2.267702920715684,5.005608707271135,0.9873590587087485,2,-29641.89028849582,59289.78057699164,59312.255156163694,68112.10172756427,13245,-0.27844791168384964,0.12445590763262913,0.02528188258250302,FALSE
Liver.natural killer cell,3.831804135649859e-4,3.077091550081068e-4,2.267696796974574,5.077170049787656,0.9878704015343036,2,-29641.85451603759,59289.70903207518,59312.18361124724,68111.7338660508,13245,-0.36495248703241834,0.16196660270209798,0.02425919693139281,FALSE
Fat.B cell,4.038248453337154e-4,3.2835514543527733e-4,2.267673380224979,5.3508208708556415,0.9896361211511684,2,-29641.71772381567,59289.43544763134,59311.910026803394,68110.3271990011,13245,-0.34780390888843077,0.1503572079289447,0.020727757697663118,FALSE
Marrow.monocyte,4.256575502787079e-4,3.5018949875365024e-4,2.2676486153672313,5.6402350620810076,0.9912164949218057,2,-29641.57305489429,59289.14610978858,59311.62068896063,68108.83956558032,13245,-0.3146597742087368,0.13249290569682862,0.01756701015638852,FALSE
Marrow.immature natural killer cell,4.391892205017688e-4,3.637221906204191e-4,2.2676332662452143,5.819617138660675,0.9920690520178385,2,-29641.483389102985,59288.96677820597,59311.441357378026,68107.91754675977,13245,-0.4708036354783359,0.19516080492018095,0.01586189596432318,FALSE
Fat.T cell,4.534889999670585e-4,3.7802304972178735e-4,2.2676170457355456,6.009186904723728,0.9928777949943541,2,-29641.388632219994,59288.77726443999,59311.251843612044,68106.9431906323,13245,-0.33626673331972484,0.13717534112074586,0.014244410011291746,FALSE
Fat.endothelial cell,4.8863734945927e-4,4.131740529208505e-4,2.2675771758064087,6.47516570139367,0.9945247699648821,2,-29641.155717409518,59288.311434819036,59310.78601399109,68104.54825791455,13245,-0.3031706805936201,0.11914114111639092,0.010950460070235703,FALSE
Kidney.epithelial cell of proximal tubule,5.046260616079005e-4,4.2916397222036995e-4,2.267559039052248,6.68714669449648,0.9951391877693107,2,-29641.04976355455,59288.0995271091,59310.57410628116,68103.45882155714,13245,-0.31363590027792515,0.1212845114462667,0.009721624461378687,FALSE
Lung.leukocyte,5.193743945359154e-4,4.439134186502436e-4,2.267542309190418,6.882688547825507,0.9956432849547083,2,-29640.95202793074,59287.90405586148,59310.378635033536,68102.45390196428,13245,-0.41602404375990787,0.15857669868272103,0.008713430090583361,FALSE
Trachea.mesenchymal cell,5.218120893430835e-4,4.463512975039219e-4,2.267539543964489,6.9150094588827065,0.9957213010920937,2,-29640.935873449274,59287.87174689855,59310.346326070605,68102.28780269834,13245,-0.24927505195238597,0.09479434415144199,0.008557397815812603,FALSE
Pancreas.pancreatic ductal cell,5.707716940518881e-4,4.953145986720253e-4,2.2674840053841243,7.564188512408613,0.9970189864481411,2,-29640.611412256898,59287.222824513796,59309.69740368585,68098.95180084166,13245,-0.2836212719152756,0.10312349619500265,0.00596202710371774,FALSE
Brain_Myeloid.macrophage,5.895197680960513e-4,5.140640881993175e-4,2.267462737666417,7.812795125602826,0.9974023878990093,2,-29640.487162305388,59286.974324610776,59309.44890378283,68097.67434751676,13245,-0.4364575010331038,0.15614883333861754,0.0051952242019815105,FALSE
Fat.mesenchymal stem cell of adipose,6.231636065120198e-4,5.477104667315214e-4,2.267424571770872,8.2589486444749909,0.9979691942788292,2,-29640.264187142486,59286.52837428497,59309.00295345703,68095.38192893844,13245,-0.2846689934790977,0.09905531490968388,0.004061611442341568,FALSE
Brain_Non-Myeloid.endothelial cell,6.322348009411206e-4,5.567823460373988e-4,2.2674142812102605,8.379247590397492,0.9980992534773665,2,-29640.2040663484,59286.4081326968,59308.88271186886,68094.76383731703,13245,-0.3332018681754804,0.11510784309616992,0.003801493045267033,FALSE
Heart.fibroblast,6.475375144920434e-4,5.720862149461992e-4,2.2673969213727307,8.58219167051033,0.9982997723124332,2,-29640.10264392639,59286.20528785278,59308.67986702484,68093.72114342437,13245,-0.29465192551497565,0.10057966358805831,0.003400455375133566,FALSE
Lung.myeloid cell,7.242655720931033e-4,6.488200655301313e-4,2.2673098768576265,9.599850343474177,0.9990249972789157,2,-29639.594086816516,59285.18817363303,59307.66275280509,68088.49305908545,13245,-0.552776648278129,0.17840928671582099,0.0019500054421686538,FALSE
Trachea.blood cell,7.355088705526283e-4,6.600642128606893e-4,2.2672971215627298,9.748985455751155,0.9991009597367712,2,-29639.519562434776,59285.03912486955,59307.51370404161,68087.72696498074,13245,-0.4039606575703739,0.1293776800387001,0.001798080526457761,FALSE
Large_Intestine.Brush cell of epithelium proper of large intestine,7.634761339878069e-4,6.880335878296506e-4,2.267265392956274,10.119967748521224,0.9992649507338367,2,-29639.334182324397,59284.668364648795,59307.14294382085,68085.82133597699,13245,-0.41529091626388753,0.13054578905606892,0.0014700985323264921,FALSE
Kidney.macrophage,7.659324303546063e-4,6.90490069647165e-4,2.2672626062891355,10.152551208268008,0.9992778199173017,2,-29639.317900594706,59284.63580118941,59307.11038036147,68085.6539692409,13245,-0.5627227929823044,0.1766065928955837,0.0014443601653965498,FALSE
Lung.classical monocyte,7.696194481727462e-4,6.941773658358796e-4,2.2672584233626263,10.201460833705415,0.9992967103737853,2,-29639.293460867957,59284.586921735914,59307.06150090797,68085.40274379983,13245,-0.5669030816165845,0.177491530575779,0.0014065792524293418,FALSE
Bladder.bladder urothelial cell,7.906590902190838e-4,7.152185963792412e-4,2.2672345537137004,10.480566204892304,0.9993953320810821,2,-29639.153995996825,59284.30799199365,59306.782571165706,68083.96914797429,13245,-0.32770671645738203,0.1012262083318494,0.0012093358378358603,FALSE
Lung.lung endothelial cell,7.943922933993623e-4,7.189520814170347e-4,2.267230318337386,10.530090949173372,0.9994113104227852,2,-29639.129249513346,59284.25849902669,59306.73307819875,68083.71477556229,13245,-0.38206785820097483,0.11774011148470481,0.0011773791544296538,FALSE
Liver.endothelial cell of hepatic sinusoid,8.278954088517189e-4,7.524577263609e-4,2.2671923081844896,10.974560478475313,0.9995369068108828,2,-29638.907161482784,59283.81432296557,59306.288902137625,68081.43194554315,13245,-0.3982003664139715,0.12020100179716689,9.261863782344611e-4,FALSE
Limb_Muscle.lymphocyte,8.887175438154588e-4,8.132844534073369e-4,2.2671233022672412,11.781534324082628,0.9996999799531582,2,-29638.503960001282,59283.007920002565,59305.48249917462,68077.28765646294,13245,-0.5768686216150583,0.16806450086238647,6.000400936836852e-4,FALSE
Heart.endocardial cell,8.993949490961389e-4,8.239626648340881e-4,2.2671111879715573,11.923209775427392,0.9997219392534809,2,-29638.43317492156,59282.86634984312,59305.340929015176,68076.5601210988,13245,-0.42239558759851153,0.12232712825462998,5.56121493038327e-4,FALSE
Pancreas.leukocyte,9.581212843790849e-4,8.826934339664083e-4,2.267044557500318,12.70248693469766,0.9998167729164661,2,-29638.04383944122,59282.08767888244,59304.562258054495,68072.55863528808,13245,-0.6031130960991717,0.16922104805083518,3.6645416706791923e-4,FALSE
Limb_Muscle.mesenchymal stem cell,0.0010147291553268488,9.393055788191607e-4,2.2669803287695567,13.453739564087968,0.9998772618592209,2,-29637.66852699023,59281.33705398046,59303.811633152516,68068.70149706754,13245,-0.3994666962898761,0.10890782119121617,2.4547628155825794e-4,FALSE
Large_Intestine.enterocyte of epithelium of large intestine,0.0011691978039946897,0.0010937858898991681,2.26680505545182,15.50415233477228,0.9999586271705935,2,-29636.644285459388,59279.288570918776,59301.76315009083,68058.17633654346,13245,-0.37819133293256335,0.09604783023727634,8.274565881310027e-5,FALSE
Heart.leukocyte,0.001242614966286893,0.0011672085952009192,2.2667217453193493,16.478912171362158,0.9999752615408851,2,-29636.157419770287,59278.31483954057,59300.78941871263,68053.17384946915,13245,-0.5372834075588946,0.13235463640687703,4.947691822980271e-5,FALSE
Heart.professional antigen presenting cell,0.0012779354057845375,0.0012025317013985015,2.2666816643560903,16.94791278742139,0.9999806737843591,2,-29635.923179632216,59277.84635926443,59300.32093843649,68050.76719090962,13245,-0.511098370996149,0.12414990355221493,3.865243128182159e-5,FALSE
Liver.hepatocyte,0.0013080953370686052,0.001232693909762994,2.266647438878459,17.34841612170801,0.9999843435276776,2,-29635.723156694603,59277.446313389206,59299.92089256126,68048.71215824832,13245,-0.47957239770324683,0.1151394799481809,3.131294464483265e-5,FALSE
Liver.Kupffer cell,0.001582315730006975,0.0015069350063927622,2.266336229975452,20.99098621161338,0.999997671693987,2,-29633.904229186464,59273.80845837293,59296.283037544985,68030.02737217981,13245,-0.7566093195474608,0.16514113484952,4.656612025909186e-6,FALSE
Mammary_Gland.stromal cell,0.0017355364685277472,0.0016601673131082517,2.2661623232829267,23.0271449755211,0.9999991926358512,2,-29632.88768525161,59271.77537050322,59294.24994967528,68019.58724156137,13245,-0.5346453900240363,0.11141554239561635,1.6147282975292438e-6,FALSE
Limb_Muscle.macrophage,0.0017357549240639557,0.001660385785137941,2.26616207532472,23.03004848929382,0.9999991938521233,2,-29632.886235795624,59271.77247159125,59294.247050763304,68019.57235647234,13245,-0.7913048830440786,0.16489079789472835,1.6122957532964109e-6,FALSE
Heart.erythrocyte,0.001763688609131917,0.0016883215792042883,2.266130368939923,23.40132828408544,0.9999993351614763,2,-29632.700892733777,59271.401785467555,59293.87636463961,68017.66901542609,13245,-0.5213772730021827,0.10777842719060447,1.329677047359048e-6,FALSE
Heart.endothelial cell,0.0019901146450906305,0.0019147647103714416,2.2658733456226057,26.411630647177073,0.9999998600998247,2,-29631.198339734005,59268.39667946801,59290.871258640065,68002.24083374748,13245,-0.6258860602644689,0.12178608550101142,2.798003507264029e-7,FALSE
Fat.myeloid cell,0.0021535219925411086,0.0020781843951076517,2.2656878386873944,28.58495712503159,0.9999999544176071,2,-29630.113764122125,59266.22752824425,59288.702107416306,67991.10660956956,13245,-0.6633643537478294,0.1240747355376178,9.116478578273679e-8,FALSE
