annotation,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,estimate,std.error,p.value.orig,fdr_significant
ABC,9.771621332366333e-4,9.059051547867236e-4,2.200911367471346,13.71321314058358,0.9998931160412853,2,-30956.91267033342,61919.82534066684,61942.470489078136,67913.03208145355,14020,-0.3581834645440232,0.09672437224824533,2.1376791742936486e-4,FALSE
RGDG,0.0010042270810723631,9.329720330752966e-4,2.2008815543617044,14.093416667316685,0.9999126729538592,2,-30956.722729811074,61919.44545962215,61942.090608033446,67911.19222094088,14020,-0.44539048879666826,0.11864045199647431,1.7465409228160467e-4,FALSE
ENTG5,0.001083834549555,0.0010125851796939367,2.200793861248127,15.21184751065571,0.9999517265460338,2,-30956.16401853746,61918.32803707492,61940.97318548622,67905.78054829831,14020,-0.3349840220499433,0.08588812286606308,9.654690793240207e-5,FALSE
PER3,0.0010931276674119698,0.0010218789603981815,2.2007836240105054,15.3424211221295,0.9999549474435735,2,-30956.09879349194,61918.19758698388,61940.84273539518,67905.14880717365,14020,-0.4377713924312829,0.11176361180824625,9.010511285300733e-5,FALSE
ENTG6,0.0011304765210952271,0.0010592304780510098,2.200742480278201,15.867218343547554,0.9999658555979988,2,-30955.83664922619,61917.67329845238,61940.318446863675,67902.6098523047,14020,-0.3493708270362317,0.08770740040484619,6.828880400239593e-5,FALSE
SATG2,0.0011320478723964716,0.001060801941431544,2.2007407492508553,15.889298617692564,0.9999662512041496,2,-30955.82562000527,61917.65124001054,61940.29638842184,67902.50303269329,14020,-0.36161308402301523,0.09071764600226918,6.749759170074673e-5,FALSE
VLMC1,0.001238742661025804,0.0011675043402454843,2.200623209270126,17.38871224726276,0.9999846769277054,2,-30955.07669506941,61916.15339013882,61938.798538550116,67895.24997868044,14020,-0.4310744281361459,0.10337572071213176,3.0646144589149414e-5,FALSE
ENTG2,0.0012503005013615783,0.0011790630049636208,2.200610476234534,17.55115724979823,0.9999859303862774,2,-30954.995562079053,61915.99112415811,61938.636272569405,67894.46428294682,14020,-0.34744769433152006,0.082934752966827,2.813922744536249e-5,FALSE
PVM2,0.0013353731233029598,0.0012641416948524498,2.2005167512051393,18.746965382422676,0.9999924851643807,2,-30954.39834582311,61914.79669164622,61937.441840057516,67888.68109212858,14020,-0.4298718613830185,0.09928268854616537,1.5029671238702196e-5,FALSE
CHOR,0.0013893752145961696,0.001318147637935252,2.2004572546986134,19.506141858669128,0.9999949486141968,2,-30954.01922065061,61914.03844130122,61936.68358971252,67885.01005917572,14020,-0.3786534627265162,0.08573462321859587,1.0102771606390179e-5,FALSE
PVM1,0.0014041838218164212,0.0013329573014042584,2.2004409391161497,19.71433973878522,0.9999954694326859,2,-30953.915252284507,61913.830504569014,61936.47565298031,67884.003378067835,14020,-0.42533199002200844,0.09579369596998771,9.061134628225945e-6,FALSE
ENTG7,0.001464896279031234,0.0013936740890367894,2.200374047083945,20.567975783209928,0.9999970986021636,2,-30953.48898575042,61912.97797150084,61935.62311991214,67879.87617806971,14020,-0.3823903618160832,0.08431622637066254,5.802795672764421e-6,FALSE
EPEN,0.0014672194694680812,0.0013959974451790425,2.2003714873887983,20.600642625886756,0.9999971476195595,2,-30953.472673948225,61912.94534789645,61935.59049630775,67879.71824884058,14020,-0.3415982754489375,0.07526191862120908,5.704760880945809e-6,FALSE
VECV,0.001500464435958511,0.0014292447829225008,2.2003348577023862,21.068123361975353,0.9999977645550677,2,-30953.239247119618,61912.478494239236,61935.123642650535,67877.45827400293,14020,-0.3864004686000899,0.08418306195306535,4.4708898644452856e-6,FALSE
VLMC2,0.001539290572661161,0.0014680736889643997,2.2002920778464974,21.61412424639828,0.9999983178581741,2,-30952.966622719472,61911.933245438944,61934.57839385024,67874.81889423348,14020,-0.43447401719015116,0.09345337445073598,3.3642836519306192e-6,FALSE
PER1,0.0015898504696265424,0.0015186371921992459,2.200236368118485,22.325197309591285,0.9999988379952847,2,-30952.61159181087,61911.22318362174,61933.86833203304,67871.38185978893,14020,-0.38318024500170234,0.08109712493815313,2.3240094307698075e-6,FALSE
VECA,0.001752611521794388,0.0016814098535719024,2.2000570192894697,24.61475363638658,0.9999996458278554,2,-30951.468563807768,61908.937127615536,61931.582276026835,67860.31745151064,14020,-0.46494152954334617,0.09371316233355725,7.08344289230044e-7,FALSE
ENTG3,0.0018069802780833135,0.0017357824878035943,2.199997106288943,25.379724159747916,0.9999997616509433,2,-30951.08670482628,61908.17340965256,61930.81855806386,67856.62149286973,14020,-0.42473960656306187,0.08431004315577273,4.766981134640897e-7,FALSE
PER2,0.002021589646957434,0.0019504071640505938,2.1997605962346864,28.400100198877837,0.9999999499062908,2,-30949.579192727575,61905.15838545515,61927.80353386645,67842.0324640699,14020,-0.45263758419053896,0.08493577933896736,1.0018741829885132e-7,FALSE
ENMFB,0.0020594109214121755,0.0019882311361710814,2.1997189126989247,28.932525076324918,0.9999999619266206,2,-30949.313485596867,61904.626971193735,61927.27211960503,67839.46139429246,14020,-0.5825327945480421,0.10829968926310375,7.614675888064313e-8,FALSE
VECC,0.00253042429599158,0.002459278106568985,2.1991997338399525,35.56654708466953,0.9999999987379317,2,-30946.00361488578,61898.00722977156,61920.65237818286,67807.44215989047,14020,-0.5293316636015087,0.08875790057957063,2.5241367427269087e-9,FALSE
