annotation,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,estimate,std.error,p.value.orig,fdr_significant
HYPEP7,3.021568168687937e-5,-4.1180133272256114e-5,2.2570291501384205,0.42321362539462293,0.25767425949292233,2,-31278.695081669994,62563.39016333999,62586.032314961885,71349.09326755129,14006,0.11348985500662259,0.17445250922211947,0.5153485189858447,FALSE
OBNBL1,3.003591058962094e-5,-4.135991720488619e-5,2.257029353018845,0.4206955996936487,0.2583003956937958,2,-31278.696340824696,62563.39268164939,62586.03483327129,71349.10609444365,14006,0.083667697521992,0.12899528397133286,0.5166007913875916,FALSE
DEINH4,2.7836649222468407e-5,-4.355933559474501e-5,2.2570318349907588,0.3898909622678442,0.2661834464099596,2,-31278.711744897057,62563.42348979411,62586.06564141601,71349.2630144895,14006,0.08790731959228913,0.1407840497773093,0.5323668928199192,FALSE
DEINH6,2.7546374241948287e-5,-4.3849631300219016e-5,2.2570321625797902,0.38582514571658355,0.2672560975262597,2,-31278.71377803932,62563.42755607864,62586.06970770054,71349.28372597197,14006,0.10398464118199005,0.1674071231048559,0.5345121950525193,FALSE
DGNBL2,2.5482668452820048e-5,-4.5913484433723895e-5,2.257034491567914,0.356919349607648,0.27511590298657923,2,-31278.72823261792,62563.45646523584,62586.09861685774,71349.43097395799,14006,0.06584063293304614,0.11020694170526678,0.5502318059731585,FALSE
HBGLU10,2.4966801688394903e-5,-4.642938803001151e-5,2.2570350737472142,0.3496937551822963,0.2771480412353191,2,-31278.731845839873,62563.463691679746,62586.105843301644,71349.46778169605,14006,0.07992809124814114,0.13516227821814386,0.5542960824706382,FALSE
OBINH3,2.315643358019353e-5,-4.8239885394929516e-5,2.2570371168294567,0.3243365192012551,0.28451113491371327,2,-31278.744525963204,62563.48905192641,62586.131203548306,71349.59695372207,14006,0.06851709719099851,0.12030980683701291,0.5690222698274265,FALSE
PSPEP7,2.2623387745801087e-5,-4.877296928773589e-5,2.2570377183954236,0.31687033744819926,0.2867517830288788,2,-31278.748259501695,62563.49651900339,62586.13867062529,71349.63498720824,14006,0.07161790619337026,0.12722745116349782,0.5735035660577577,FALSE
TEINH21,2.2199769864663063e-5,-4.919661741431547e-5,2.2570381964669566,0.3109368794516371,0.2885573793220839,2,-31278.75122658783,62563.50245317566,62586.144604797555,71349.66521287322,14006,0.06809636828914785,0.12212029167928667,0.5771147586441678,FALSE
MEINH11,2.097067094378196e-5,-5.042580409031494e-5,2.2570395835589294,0.29372137677295157,0.2939271080775342,2,-31278.759835382494,62563.51967076499,62586.161822386886,71349.75291061662,14006,0.08488746060874264,0.15663029443815646,0.5878542161550684,FALSE
HYPEP5,1.7760777953612526e-5,-5.363592626039804e-5,2.2570432060597576,0.24876187422270837,0.308978032479071,2,-31278.78231790839,62563.56463581678,62586.20678743868,71349.98194049124,14006,0.07125465224869126,0.14286350957984573,0.617956064958142,FALSE
DECHO1,1.723524125893298e-5,-5.416150047721224e-5,2.2570437991497263,0.24140094967622316,0.3116018999797085,2,-31278.785998831812,62563.571997663625,62586.21414928552,71350.01943819091,14006,0.05519233900859103,0.1123335056568687,0.623203799959417,FALSE
HBSER4,1.7188596273598875e-5,-5.420814879286695e-5,2.2570438517905203,0.24074761752162727,0.3118371767901259,2,-31278.78632553891,62563.57265107782,62586.21480269972,71350.02276636887,14006,0.05509015556386448,0.11227756871638453,0.6236743535802518,FALSE
DGGRC2,1.579432378785951e-5,-5.560252082692507e-5,2.257045425284089,0.22121879297400446,0.31906007402645015,2,-31278.796091184442,62563.592182368884,62586.23433399078,71350.12224945246,14006,0.046906320906434026,0.09972874669651367,0.6381201480529003,FALSE
OBINH2,1.4264529224140256e-5,-5.713242461480306e-5,2.2570471517186075,0.19979184624993798,0.3274479128476766,2,-31278.80680602661,62563.61361205322,62586.255763675115,71350.23140220558,14006,0.047057400496582906,0.10527834582310683,0.6548958256953532,FALSE
HYPEP4,1.397596348613366e-5,-5.742101095584928e-5,2.2570474773764677,0.19575008038276387,0.3290900919210267,2,-31278.80882716958,62563.61765433916,62586.25980596106,71350.25199173146,14006,0.0709246141487358,0.1603046082950889,0.6581801838420533,FALSE
HBGLU8,1.2777583582478736e-5,-5.8619476421606365e-5,2.257048829795133,0.17896512239800696,0.336135302768734,2,-31278.817220734698,62563.634441469396,62586.276593091294,71350.3374976346,14006,0.055912476349565865,0.1321674547649049,0.672270605537468,FALSE
