gwas,specificity_id,annotation,tau,se,pvalue
BMI_UKBB_Loh2018,mousebrain190306,MEINH12,3.115741818683848e-08,1.3846293456168893e-08,0.012217006572059094
BMI_UKBB_Loh2018,mousebrain190306,TEINH4,1.2000772656077457e-08,5.366451870298138e-09,0.012667427410923993
BMI_UKBB_Loh2018,mousebrain190306,TEGLU5,9.186136663695123e-09,4.154360185045362e-09,0.013510866716079172
BMI_UKBB_Loh2018,mousebrain190306,PSNF1,1.1770621861694912e-08,5.355173284537088e-09,0.013974879114611616
BMI_UKBB_Loh2018,mousebrain190306,DECHO1,9.608081493216797e-09,4.416588285002938e-09,0.014798082590391722
BMI_UKBB_Loh2018,mousebrain190306,MEINH9,1.0645313947133396e-08,4.931294973608179e-09,0.015435720932414644
BMI_UKBB_Loh2018,mousebrain190306,TEGLU13,1.0013056776988522e-08,4.645942569411691e-09,0.015572071948061431
BMI_UKBB_Loh2018,mousebrain190306,TEINH9,1.2597875552501611e-08,5.849161401542968e-09,0.01562825361724113
BMI_UKBB_Loh2018,mousebrain190306,SCINH4,1.226121865308469e-08,5.711022026328827e-09,0.015899050054843756
BMI_UKBB_Loh2018,mousebrain190306,TEGLU15,9.601579670905691e-09,4.4894598532129696e-09,0.016230240090304632
BMI_UKBB_Loh2018,mousebrain190306,ENT8,1.5154336641151196e-08,7.11369878266213e-09,0.016573286880524483
BMI_UKBB_Loh2018,mousebrain190306,TEGLU18,9.692719292032927e-09,4.556844781594967e-09,0.016707211559602354
BMI_UKBB_Loh2018,mousebrain190306,HBGLU6,1.038240173934456e-08,4.8879442943315894e-09,0.016831581713344403
BMI_UKBB_Loh2018,mousebrain190306,OBINH5,1.8913556063437967e-08,8.950549494510648e-09,0.017295388162368256
BMI_UKBB_Loh2018,mousebrain190306,OBNBL1,1.1085489256036236e-08,5.2462983549392926e-09,0.017299887723195836
BMI_UKBB_Loh2018,mousebrain190306,HBINH6,1.4356678800960442e-08,6.803236245783089e-09,0.017417467960045098
BMI_UKBB_Loh2018,mousebrain190306,TEINH13,1.1100478619882534e-08,5.272813438572706e-09,0.01763569894615518
BMI_UKBB_Loh2018,mousebrain190306,TEINH3,2.1961138547627706e-08,1.0577449252552624e-08,0.018936686791957303
BMI_UKBB_Loh2018,mousebrain190306,HBGLU1,1.3188229927534496e-08,6.471953111684421e-09,0.020787412741207063
BMI_UKBB_Loh2018,mousebrain190306,TEGLU8,7.928669923988067e-09,3.916159176268302e-09,0.02145404271059157
BMI_UKBB_Loh2018,mousebrain190306,MEGLU14,1.1209833822124637e-08,5.587025068544468e-09,0.022406539197687127
BMI_UKBB_Loh2018,mousebrain190306,DEINH7,2.052503565954773e-08,1.0278065593159457e-08,0.02291397255967639
BMI_UKBB_Loh2018,mousebrain190306,MBCHO1,1.2655056906004092e-08,6.355258846656028e-09,0.023225427605330987
