gwas,specificity_id,annotation,q,h2g,h2g_se,prop_h2g,prop_h2g_se,enr,enr_se,enr_pval
BMI_UKBB_Loh2018,mousebrain,HBGLU5,5,0.0141558882258424,0.000898571384155441,0.0559378520027887,0.00319576316418149,1.61667820510665,0.0923617992331436,5.05931009880532e-11
HEIGHT_UKBB_Loh2018,mousebrain,HBGLU5,0,0.30844695320591997,0.0136885108680175,0.494175606029142,0.0121102377420672,0.7644256184231409,0.0187329683260106,8.466309538187929e-31
HEIGHT_UKBB_Loh2018,mousebrain,HBGLU5,1,0.0551990342384775,0.00215560477209237,0.0884366530889742,0.00172407786154096,1.27340282777705,0.0248250645802401,7.551535214462929e-27
HEIGHT_UKBB_Loh2018,mousebrain,HBGLU5,2,0.10186555922663301,0.0040230897630906,0.16320302062025,0.0026234802579474603,1.36668163488012,0.0219693377878723,2.42585545959458e-47
HEIGHT_UKBB_Loh2018,mousebrain,HBGLU5,3,0.0777563589556058,0.0036193956393079704,0.12457667488728,0.00372846477778085,1.4578010857506,0.0436306395731772,3.82617830474402e-23
HEIGHT_UKBB_Loh2018,mousebrain,HBGLU5,4,0.0458683123227862,0.00267909061599465,0.0734875180450049,0.0033320071645102397,1.64721702744784,0.0746866826227307,1.5073549329032e-16
HEIGHT_UKBB_Loh2018,mousebrain,HBGLU5,5,0.0350284503238437,0.0026373472642872,0.0561205273293486,0.00362723989707261,1.62195776462648,0.10483204978979599,8.19503031452215e-09
LIPIDS_LDL_Teslovich2010,mousebrain,MEINH3,0,0.0386645579549295,0.0058197747708031294,0.387085406918805,0.0403278217466221,0.633296617936259,0.0659789097299377,1.62474402209748e-07
LIPIDS_LDL_Teslovich2010,mousebrain,MEINH3,1,0.008850547719369141,0.0009224992447514759,0.0886061562995194,0.00576491364521609,1.12854063183505,0.0734253640983406,0.0708652565579031
LIPIDS_LDL_Teslovich2010,mousebrain,MEINH3,2,0.0185504945408741,0.0018554829236370801,0.18571596593111606,0.00939866637091873,1.31308276520811,0.0664521586268567,2.85684692485358e-06
LIPIDS_LDL_Teslovich2010,mousebrain,MEINH3,3,0.0180996800678952,0.00220927413176857,0.18120269297655703,0.015231352101139,1.78469261103988,0.15001588058388401,1.0575111429980801e-06
LIPIDS_LDL_Teslovich2010,mousebrain,MEINH3,4,0.0115151362476916,0.00173797328930308,0.11528235251930301,0.0142191795256435,2.3503176658183103,0.289893362706717,1.1228157840761e-05
LIPIDS_LDL_Teslovich2010,mousebrain,MEINH3,5,0.00420595806212129,0.0007157034954065089,0.0421074253546995,0.00605885869652389,2.30766242801452,0.33205071202618,0.000180448454262346
