specificity_id,annotation_prefix,annotation,annotation_fmt,annotation_marker,taxonomy_lvl2,Notes
mikkelsen2019,LHA,Glut_8,LHA-NEURO8,Slc17a6/Trh/Cbln2,Neuron,
mikkelsen2019,LHA,Glut_9,LHA-NEURO9,Slc17a6/Synpr/Gad1,Neuron,
mikkelsen2019,LHA,Nonneuronal_1,LHA-OLIGO1,Olig1/Mag/Opalin,Oligodendrocyte,Mature_oligo
mikkelsen2019,LHA,Nonneuronal_10,LHA-MICRO1,C1qa/Cx3cr1/Tmem119,Microglia,
mikkelsen2019,LHA,Nonneuronal_11,LHA-OTHER1,doublets,Other,Doublets
mikkelsen2019,LHA,Nonneuronal_12,LHA-OTHER2,doublets,Other,Doublets
mikkelsen2019,LHA,Nonneuronal_13,LHA-OPC1,Olig1/Mag/Pdgfra/Fyn,Oligodendrocyte,Immature_oligo
mikkelsen2019,LHA,Nonneuronal_2,LHA-EPI1,Flt1,Epithelial,
mikkelsen2019,LHA,Nonneuronal_3,LHA-OPC2,Olig1/Cspg4/Pdgfra,Oligodendrocyte,Proliferating_oligo
mikkelsen2019,LHA,Nonneuronal_4,LHA-RBC1,Hba-a1,RBC,Red Blood Cells
mikkelsen2019,LHA,Nonneuronal_5,LHA-FIBRO1,Pdgfra/Col1a2/Gja1,Fibroblast,
mikkelsen2019,LHA,Nonneuronal_6,LHA-ASTRO1,Slc7a10/Gja1/Aqp4/Agt,Astrocyte,
mikkelsen2019,LHA,Nonneuronal_7,LHA-MACRO1,C1qa/Cx3cr1/Mrc1,Macrophage,
mikkelsen2019,LHA,Nonneuronal_8,LHA-ASTRO2,Gfap/Gja1/Aqp4/Agt,Astrocyte,
mikkelsen2019,LHA,Nonneuronal_9,LHA-MURAL1,Cspg4/Acta2,Mural,Pericyte
moffitt2018,POA,Astrocytes_1,POA-ASTRO1,,Astrocyte,
moffitt2018,POA,Astrocytes_2,POA-ASTRO2,,Astrocyte,
moffitt2018,POA,e1_Glut,POA-NEURO1,Glut,Neuron,
moffitt2018,POA,e10_Glut_Meis2,POA-NEURO2,Glut/Meis2,Neuron,
moffitt2018,POA,e11_Glut_Shox2,POA-NEURO3,Glut/Shox2,Neuron,
moffitt2018,POA,e12_Nos1_Foxp2,POA-NEURO4,Nos1/Foxp2,Neuron,
moffitt2018,POA,e13_Ghrh_C1ql1,POA-NEURO5,Ghrh/C1ql1,Neuron,
moffitt2018,POA,e15_Ucn3_Brs3,POA-NEURO6,Ucn3/Brs3,Neuron,
moffitt2018,POA,e16_Sst_Cartpt,POA-NEURO7,Sst/Cartpt,Neuron,
moffitt2018,POA,e17_Th_Adcyap1,POA-NEURO8,Th/Adcyap1,Neuron,
moffitt2018,POA,e19_Ghrh_Trh,POA-NEURO9,Ghrh/Trh,Neuron,
moffitt2018,POA,e2_Tac1_Fezf1,POA-NEURO10,Tac1/Fezf1,Neuron,
moffitt2018,POA,e20_Crh,POA-NEURO11,Crh,Neuron,
moffitt2018,POA,e21_Glut_Rxpf3,POA-NEURO12,Glut/Rxpf3,Neuron,
moffitt2018,POA,e22_Gal_Ucn3,POA-NEURO13,Gal/Ucn3,Neuron,
moffitt2018,POA,e23_Reln_Etv1,POA-NEURO14,Reln/Etv1,Neuron,
moffitt2018,POA,e24_Gal_Rxfp1_,POA-NEURO15,Gal/Rxfp1,Neuron,
moffitt2018,POA,e3_Cartpt_Isl1,POA-NEURO16,Cartpt/Isl1,Neuron,
moffitt2018,POA,e4_Trh_Angpt1,POA-NEURO17,Trh/Angpt1,Neuron,
moffitt2018,POA,e5_Adcyap1_Nkx2.1,POA-NEURO18,Adcyap1/Nkx2,Neuron,
