Annotation,Coefficient p-value,Coefficient,Coefficient std error,FDR < 0.05,annotation,"AD (Jansen, 2019)","ADHD (Demontis, 2017)","AN (Duncan, 2017)","ASD (Grove, 2018)","BIP (PGC, 2018)","CAD (Schunkert, 2011)","CVD (Loh, 2018)","CELIAC (Dubois, 2010)","CROHNS (Jostins, 2012)","DEP (Nagel, 2018)","BP_DIA (Loh, 2018)","EA3 (Lee, 2018)","FG_F (Lagou, 2018)","FI_F (Lagou, 2018)","HBA1C (Wheeler, 2017)","HEIGHT (Loh, 2018)","IBD (Jostins, 2012)","INS (Jansen, 2018)","INT (Savage, 2018)","HDL (Teslovich, 2010)","LDL (Teslovich, 2010)","TG (Teslovich, 2010)","SLE (Bentham, 2015)","MDD (Howard, 2019)","MS (Patsopoulos, 2011)","NEU (Nagel, 2018)","PBC (Cordell, 2015)","RA (Okada, 2014)","RT (Linner, 2019)","SCZ (Pardinas, 2018)","SWB (Okbay, 2016)","BP_SYS (Loh, 2018)","T1D (Bradfield, 2011)","T2D (Loh, 2018)","UC (Jostins, 2012)","WHR (Pulit, 2019)","WHRadjBMI (Loh, 2018)","WORRY (Nagel, 2018)"
VMH-NEURO9,0.14101011176196193,1.353357467563858e-8,1.2580101711308125e-8,FALSE,Esr1_2_Samd9l_Rorb,0.3470029234910954,0.024766334334317918,0.6928035209051344,0.2164512930631795,0.2503852235885655,0.3513014468636286,0.01589897349003007,0.9963655139313666,0.2512884416061696,0.8158412543315201,0.014644426867591185,0.0269421247265238,0.6009673980547785,0.2056493487960867,0.5406341791879979,0.1186319409920304,0.3277524481144241,0.5791081126166789,0.05480875792914178,0.0961731956085975,0.4001312651824327,0.020279970413999586,0.7266594791935469,0.9631652966376846,0.7657557617179414,0.3826490256885148,0.5104254245903584,0.9522217174818522,0.5859337524947104,0.1405640522627601,0.8286656968430504,0.024231703093138938,0.2036810200918284,0.2520915951769596,0.5740525608532407,0.09159284477052793,0.16775542869791446,0.6280348835732941
POA-NEURO58,0.14289820789793378,7.408773836310339e-9,6.9410280091617984e-9,FALSE,i42_Pthlh,0.05990274641242765,0.2284866772570272,0.18937055170616585,0.18527780574917496,0.03228466653718834,0.5837022463942552,0.31685032710358474,0.7961325233412051,0.5107216196835429,0.3837679774995646,0.28731246529752585,0.0021015434140053513,0.6636752243466074,0.2358323805142765,0.4886980611281226,0.9055593850390776,0.3630494025839932,0.0568492629146297,9.62398320460274e-4,0.5097692135837375,0.6408486643187787,0.10404583408866597,0.02446385979168008,0.014915387784742322,0.012064483877567709,0.10416114662364896,0.02352033190356549,0.05639917765412983,0.13936948099947055,0.10173353853938973,0.5146861014316723,0.35798886596635593,0.1106754028267808,0.3881600038993077,0.2206495086734997,0.6348937092216266,0.8303812296526425,0.015896433348123417
HYPC-NEURO20,0.14409216591171736,4.2580040796092016e-8,4.008992991972502e-8,FALSE,Glu10,0.8922385675893179,0.29336974264296706,0.20243227856230128,0.6314591148365026,0.66297736106878,0.4266921630553789,0.9967176993938868,0.5500426343520975,0.6366157402731234,0.0413941112796297,0.8000352087020153,0.8407970528165412,0.4868502873624433,0.2569560738147287,0.9222333420476612,0.9527955050170196,0.2732926407144603,0.05525340199962799,0.43242172640102333,0.2031790677869586,0.8949450410001121,0.4703564724049437,0.123008644344911,0.3494821813389615,0.8190484991331574,0.3230201925657595,0.21728812552227267,0.02617551220623637,0.17327429025226174,0.4100570121256299,0.05777718432487133,0.9921808546556701,0.3012860476945633,0.17484213737488769,0.24426964914669835,0.13424697599080793,0.5031234940514655,0.009759708794262443
LHA-NEURO14,0.14503997172216287,1.0761311351046567e-8,1.0171888459295098e-8,FALSE,GABA_14,0.060736219244944364,0.016747237705994702,0.9097148004998304,0.7877346462232259,0.18811904553297001,0.4125298414859269,0.5220201877407841,0.7502948410671848,0.7924285758406033,0.5198040950816122,0.5838766292584913,0.12719034554515754,0.2025318065470044,0.0949131201171049,0.2285160153925525,0.16214455052660826,0.7153166605701435,0.05890668555773049,0.1327501813133321,0.14079391099296024,0.739499462630277,0.5271603606339585,0.6871143689471835,0.07797361526246391,0.005783550343906341,0.07049097612040467,0.0376899293562351,0.42140874635796655,0.1589485280907158,0.018481455855872568,0.8305749099485367,0.3348509519898568,0.018182784849616843,0.011937659438700959,0.24226388849004785,0.04206334119270954,0.14041420277716346,0.033410488328867546
HYPR-NEURO6,0.14719179386061804,9.758767746818516e-9,9.306884338629846e-9,FALSE,circadian_1_Vip_Grppos_neg,0.4079827277775594,0.18774504906287495,0.8485561699775003,0.5551893302544072,0.16206660386235255,0.3985440231199405,0.15153899322651715,0.2212775245513791,0.7575381366902679,0.7088638769092757,0.09584680890175906,0.1312777199548445,0.5711437728806839,0.8497827684489146,0.8717524364664291,0.07305010119319245,0.3827197502921743,0.5174148512492762,0.7479819638045133,0.33754913028254385,0.3623967913670039,0.20938727074942792,0.7357837526420418,0.7687374487519525,0.4836037116922047,0.4806254964485238,0.6330729076150303,0.09564899504120122,0.08223645275809682,0.4224256211677832,0.8972672584915369,0.09878853294291223,0.060948897780982475,0.13658715113434114,0.17529615663825074,0.35142067843512115,0.7108013095698914,0.5215200099974253
HYPR-NEURO3,0.1533419759536076,8.316189571762702e-9,8.13554103675802e-9,FALSE,Avp_1_high,0.8170415297101481,0.02114493483765746,0.0016346316579826212,0.9460727124356866,0.3231232195635968,0.3928331956706422,0.4185955961969979,0.016163180621116116,0.0769397302843431,0.0834128947039528,0.5002860452109145,0.3025982703881353,0.37720917854238206,0.7186245309762125,0.5518120775549017,0.1604977256936838,0.197838291443292,0.22018739943722404,0.2192612049844535,0.339787559712508,0.8990311910321016,0.139672854211912,0.02411676285067961,0.6720562907304702,0.3559341148668249,0.2349666255875321,0.05613380542135707,0.016321566048638197,0.0962462618919453,0.13534476961316133,0.6520458260683375,0.7545235501658876,0.9347704821112752,0.2714913348453259,0.5079236482544576,0.043356632574122984,0.29059325730065777,0.29412983189107
HYPC-NEURO11,0.15342749081647986,8.845889333322665e-9,8.656794718466859e-9,FALSE,GABA2,0.9719489516950326,0.6190440485390085,0.3156315520604121,0.2712821916148692,0.2787210859166366,0.046915200643428114,0.3736143484219129,0.009979241649358357,0.4047673749957149,0.07164140101923877,0.20557238407440026,0.02691813086606443,0.1743764703172378,0.9992021745185162,0.07046579177883679,0.13354746273096085,0.19009142426258008,0.182973674144398,0.00223403069116736,0.18508373154031127,0.4454528291768,0.4718670021479454,0.3841462409323526,0.09853869315362923,0.0851163462942282,0.20792776947973352,0.4182008881924383,0.494725509126136,0.3603438228988923,0.3931467178212579,0.7357531610829656,0.18865826213290604,0.3797563459645916,0.1825860374562711,0.3017398519526669,0.09317377000384193,0.1592372876086674,0.18936545666995705
VMH-NEURO32,0.1572379474308594,9.722245415283138e-9,9.665464653520276e-9,FALSE,Satb2_Six3,0.8796365612436964,0.09659363100257434,0.4273873261442786,0.5385121660250463,0.8064997046946473,0.1292049369746779,0.8589782677962047,0.9376947788895942,0.5186184600398684,0.5326514515947453,0.8430292468327973,0.5409577812045211,0.9857469466774268,0.5470946257375694,0.6524088358307107,0.6937106182062049,0.8103744993667301,0.7021211175026881,0.3585147519186401,0.45492470537533297,0.07083462941489511,0.7855227214587248,0.22839971442305476,0.26401614256961337,0.4476407961472339,0.2071920726517109,0.4717829487202333,0.9960361373368222,0.3043839659934976,0.7707972646670631,0.9028136476758872,0.6142397633809533,0.2927865544643693,0.9938034172754714,0.7511390153445712,0.4420916174149903,0.6514636585419861,0.08172119089477503
HYPC-OPC2,0.1610882786951343,7.533301650034488e-9,7.60943395044652e-9,FALSE,POPC,0.4670893279697019,0.2584615679990793,0.1561716009754734,0.7223500452164705,0.11455933212483255,0.8514844491399234,0.18223721531421774,0.39344839032009993,0.9482436154094064,0.9967881308424292,0.13743282041047244,0.28247645695125256,0.3088001064195252,0.3967956618154562,0.2465606651004136,0.029998567880496683,0.5789020320344876,0.13246947545756188,0.4225610919006145,0.4712575856665312,0.1531360895381591,0.2565099765582548,0.8136784768055958,0.20875942752220505,0.02376759136043293,0.32632056329343284,0.6222085011837573,0.2400981060841144,0.8456806349860351,0.21479475123122954,0.8198717152615328,0.22250967551314102,0.4793821907765393,0.09134935480191253,0.3039785192458008,0.09174634704262752,0.017025374098913814,0.4616498047946172
VMH-NEURO13,0.16951706927270674,7.630990830697626e-9,7.981578412098821e-9,FALSE,Esr1_6_Ctxn3,0.9485499301341329,0.5730762427683994,0.03835496674092285,0.1917006536645516,0.005802211640835772,0.0539690982829893,0.3916402701154832,0.9422186424623652,0.6112028887495794,0.4925240191261243,0.5374477074088231,0.07888191096687464,0.7037691907916048,0.8560491533897729,0.8390433628363381,0.81781753659441625,0.22374342204882874,0.6045656888728071,0.059229623913462474,0.3884721759887023,0.5128853443930466,0.8522620153857234,0.9915138662263449,0.003364173990798043,0.6162425606249649,0.1358016687991812,0.839471011354495,0.6137768075893787,0.7451938354359542,0.09106636846042654,0.6945423741119922,0.5251952472072258,0.3368681169643714,0.6984878077285279,0.3530399382429382,0.8490874454361862,0.9524735242561676,0.2910455888866215
