Annotation,Coefficient p-value,Coefficient,Coefficient std error,Annotation size,h2g prop.,h2g enrichment,h2g enrichment P-value
DEINH1,0.0771318327862,6.33787969491e-9,4.44878440759e-9,NA,NA,NA,NA
MSN2,0.0780054812877,5.32579904306e-9,3.75422142365e-9,NA,NA,NA,NA
PSPEP4,0.0801943811257,6.59843813524e-9,4.70052816289e-9,NA,NA,NA,NA
DEGLU3,0.0809305349816,5.40120247926e-9,3.86120198712e-9,NA,NA,NA,NA
SCINH9,0.082471038263,1.25658600411e-8,9.04903715343e-9,NA,NA,NA,NA
TEINH7,0.0831541461172,9.23605443385e-9,6.67265980788e-9,NA,NA,NA,NA
TEINH8,0.0833632928611,1.11533645004e-8,8.06579018685e-9,NA,NA,NA,NA
HYPEP2,0.0852245641907,8.33217111306e-9,6.07849538458e-9,NA,NA,NA,NA
HBSER1,0.0862525301029,7.42696192772e-9,5.44419396165e-9,NA,NA,NA,NA
MEINH14,0.0867563797557,2.70528796885e-8,1.98771647291e-8,NA,NA,NA,NA
TEGLU1,0.0893005409474,5.84835350028e-9,4.34797642674e-9,NA,NA,NA,NA
ENT1,0.0900786248303,1.87338638323e-8,1.39776683641e-8,NA,NA,NA,NA
TEINH20,0.0920314960355,8.23535554864e-9,6.19969482241e-9,NA,NA,NA,NA
PSPEP2,0.0942750435984,6.42543955751e-9,4.88671012085e-9,NA,NA,NA,NA
HBCHO1,0.0980289176682,1.46998394013e-8,1.13699744811e-8,NA,NA,NA,NA
TEINH14,0.0984988921457,5.99391731093e-9,4.64589902616e-9,NA,NA,NA,NA
DEINH8,0.102746263115,9.39359866714e-9,7.41956765371e-9,NA,NA,NA,NA
DECHO2,0.103177727398,6.81947477972e-9,5.39664575883e-9,NA,NA,NA,NA
MEINH8,0.108904234445,8.84656179447e-9,7.17845696834e-9,NA,NA,NA,NA
PSNF3,0.109267059506,6.89176662707e-9,5.60107979106e-9,NA,NA,NA,NA
MSN4,0.110381640751,5.95499228914e-9,4.86319912231e-9,NA,NA,NA,NA
SCGLU2,0.110569979783,2.09152541187e-8,1.70945740412e-8,NA,NA,NA,NA
PSNF2,0.115465515765,7.5502956382e-9,6.30260644438e-9,NA,NA,NA,NA
SCINH11,0.120189798384,7.39988526821e-9,6.30293226224e-9,NA,NA,NA,NA
SCGLU7,0.124687794575,8.94013327453e-9,7.7614261049e-9,NA,NA,NA,NA
MEINH1,0.125561034415,6.93132578454e-9,6.03969611044e-9,NA,NA,NA,NA
HBADR,0.127968481229,6.98904451325e-9,6.15207426399e-9,NA,NA,NA,NA
SCGLU1,0.130667031898,7.33916083848e-9,6.53389972664e-9,NA,NA,NA,NA
PSPEP3,0.130677925606,6.17615879935e-9,5.4987547961e-9,NA,NA,NA,NA
OBINH4,0.136270614357,5.4776069399e-9,4.99221779299e-9,NA,NA,NA,NA
HBGLU8,0.138430154741,6.45633400351e-9,5.93740776746e-9,NA,NA,NA,NA
SCINH5,0.13880494385,6.85800951175e-9,6.31664646246e-9,NA,NA,NA,NA
