annotation,DET,GES,NSI,EP,ESmu,N_cells_es
HYPEP2,1892,1092,400,714,2115,43
HYPEP3,3546,2270,440,578,3805,152
HYPEP4,2120,1426,401,575,2427,98
HYPEP5,2464,1754,610,803,2804,173
HYPEP6,2641,2408,302,625,3134,32
HYPEP7,1159,1154,303,596,1615,13
HYPEP8,1311,970,476,782,1594,15
MBCHO1,3669,3755,323,778,4381,62
MBDOP1,1937,1211,469,751,2177,57
MBDOP2,3309,2614,336,628,3680,63
MEGLU1,5567,5057,492,1103,6048,263
MEGLU10,5213,4147,659,895,5656,419
MEGLU11,5164,4410,557,848,5621,249
MEGLU14,3131,2723,289,567,3558,47
MEGLU2,5322,4521,606,904,5719,336
MEGLU3,3907,2637,297,486,4153,137
MEGLU4,3746,2420,578,890,4026,136
MEGLU5,4872,3931,684,1006,5212,281
MEGLU6,5233,5034,440,801,5802,143
MEGLU7,3740,2324,538,993,3937,138
MEGLU8,4098,2834,687,969,4527,305
MEGLU9,4355,3333,614,915,4749,243
MEINH1,1055,505,765,1007,1380,43
MEINH10,5827,4901,981,1229,6253,792
MEINH11,2396,967,485,549,2595,101
MEINH12,2599,1296,324,529,2788,49
MEINH13,3855,3143,272,678,4220,70
MEINH14,1413,686,368,488,1584,21
MEINH2,6012,5417,595,1057,6383,461
MEINH3,5368,4888,469,932,5822,258
MEINH4,4286,3281,384,572,4651,162
MEINH5,3487,2082,558,895,3748,154
MEINH6,3109,2084,351,732,3403,47
MEINH7,2772,1695,380,797,2975,69
MEINH8,2056,1160,430,829,2319,71
MEINH9,4019,2517,892,1173,4408,400
MFOL1,3275,3210,2737,3203,4398,3684
MFOL2,3120,2996,2357,2523,4020,2415
MGL1,1689,1264,2721,2595,3163,2270
MGL2,1872,1431,2681,2585,3139,1820
MGL3,1981,1604,2605,2565,3139,1335
MOL1,2402,2326,1904,2485,3538,8715
MOL2,2807,2915,1952,2776,3928,10011
MOL3,3065,3176,2402,2270,4012,1849
MSN1,4943,4162,1680,1967,5420,869
MSN2,4359,3143,1777,1861,4842,1094
MSN3,3960,2443,1573,1737,4576,1247
MSN4,4522,3044,1559,1788,5133,1584
MSN5,2962,1666,1077,1321,3327,372
MSN6,1392,669,1238,1203,2001,525
NFOL1,3406,2969,2264,2331,4131,1612
NFOL2,2631,2177,1518,1984,2999,181
OBDOP1,2190,1160,954,1005,2597,371
OBDOP2,1517,775,1246,1340,2079,281
OBINH1,1846,814,1132,1095,2311,353
OBINH2,2329,1341,2024,1943,3190,1800
OBINH3,1629,855,1657,1539,2388,786
OBINH4,1326,609,1475,1386,2051,465
OBINH5,1770,954,544,822,1960,56
OBNBL1,3166,2259,588,942,3554,139
OBNBL2,2673,1374,811,922,2955,225
OBNBL3,1720,904,2289,2167,2995,2240
OBNBL4,838,402,1141,1000,1455,208
OBNBL5,1283,583,1594,1318,2116,871
OEC,1984,1497,2556,2716,3456,2031
OPC,3596,2127,1719,2616,4235,820
PER1,4429,3830,2320,3247,5255,4725
PER2,4296,4012,1907,2651,4885,488
PER3,1541,1002,1615,1994,2327,298
PSNF1,3625,3901,387,1073,4379,38
PSNF2,3482,3792,458,1101,4346,57
PSNF3,3337,3771,351,1060,4282,31
PSNP1,5174,6045,1023,1598,6286,282
PSNP2,3770,4583,592,1234,4960,72
PSNP3,4957,6290,1043,1759,6504,270
PSNP4,3228,4191,457,982,4570,45
PSNP5,4137,5094,618,1419,5368,88
PSNP6,5132,6544,767,1734,6716,132
PSPEP1,3844,4026,485,1020,4674,78
PSPEP2,4617,5189,556,1347,5566,102
PSPEP3,4358,4438,585,1213,5035,92
PSPEP4,4233,3932,650,1233,4704,117
PSPEP5,2788,2209,400,845,3135,30
PSPEP6,2954,2465,422,838,3294,54
PSPEP7,3043,2381,472,993,3400,64
PSPEP8,3161,2993,304,772,3776,28
PVM1,1855,1373,2726,2765,3312,1390
PVM2,1798,1342,2271,2491,2867,639
RGDG,1328,778,1603,1837,2220,327
RGSZ,1346,899,1999,2264,2679,756
SATG1,2076,1633,696,1440,2334,30
SATG2,3015,2554,2209,2470,3742,654
SCGLU1,1695,912,381,541,1979,52
SCGLU10,1652,863,523,669,1880,68
SCGLU2,2624,1449,335,412,2833,133
SCGLU3,2512,1651,386,687,2800,62
SCGLU4,3004,1943,680,873,3272,180
SCGLU5,2793,1746,867,1002,3150,252
SCGLU6,1857,1048,792,1045,2197,140
SCGLU7,1100,607,536,741,1329,30
SCGLU8,1385,938,347,582,1605,15
SCGLU9,1721,888,804,859,2036,154
SCHW,1713,1166,868,1206,1997,47
SCINH1,2101,1422,280,514,2343,18
SCINH10,2198,1145,352,488,2377,65
SCINH11,1863,1162,488,754,2078,50
SCINH2,2943,1657,343,464,3184,117
SCINH3,2508,1631,355,573,2803,66
SCINH4,1917,1056,352,533,2060,37
SCINH5,3067,2189,341,556,3406,44
SCINH6,3287,2575,500,766,3665,87
SCINH7,1849,1091,520,729,2129,71
SCINH8,2270,1275,591,834,2499,87
SCINH9,1781,897,614,743,2006,84
SEPNBL,1845,742,503,464,2062,117
SYCHO1,2541,3333,279,687,3905,15
SYCHO2,3712,4733,441,941,5123,75
SYNOR1,3790,4667,561,1029,5015,97
SYNOR2,3550,4445,493,1021,4855,62
SYNOR3,4861,6244,1117,1578,6509,409
SYNOR4,4211,5718,750,1289,5933,182
SYNOR5,2791,2702,504,922,3356,46
SZNBL,2814,2146,2069,2614,3688,971
TECHO,4024,3545,357,496,4673,121
TEGLU1,4086,2599,904,999,4461,402
TEGLU10,6698,7178,1141,1689,7590,866
TEGLU11,6681,6917,1378,1736,7474,1464
TEGLU12,4539,3897,960,1313,5084,386
TEGLU13,5175,4626,527,1106,5649,127
TEGLU14,3753,3875,282,784,4504,35
TEGLU15,5554,5805,635,1335,6343,186
TEGLU16,3986,3893,442,1048,4728,61
TEGLU17,6493,6382,1165,1682,7219,784
TEGLU18,6392,6127,1030,1414,7023,657
TEGLU19,4349,3392,404,806,4753,89
TEGLU2,5412,5026,752,1137,5947,274
TEGLU20,3992,4005,321,899,4681,55
TEGLU21,4840,4620,418,866,5431,104
TEGLU22,5403,4949,1329,1818,6037,958
TEGLU23,6226,6794,1000,1639,7218,484
TEGLU24,6113,6037,1580,1923,6874,2037
TEGLU3,5981,5308,1342,1492,6621,2734
TEGLU4,6137,6266,1169,2036,6872,664
TEGLU5,4692,4280,609,1083,5216,126
TEGLU6,4060,2537,1209,1327,4475,598
TEGLU7,7160,7625,1588,2101,8147,2435
TEGLU8,6858,7185,1534,2100,7817,3071
TEGLU9,4803,3948,630,910,5167,202
TEINH1,5652,4696,569,712,6001,576
TEINH10,4577,4544,933,1064,5171,581
TEINH11,6322,7015,935,1294,7343,660
TEINH12,5648,6161,644,915,6545,280
TEINH13,4961,5187,471,788,5722,163
TEINH14,3776,2530,893,1032,4188,422
TEINH15,4823,3698,1294,1527,5363,1069
TEINH16,5208,4714,1017,1167,5709,644
TEINH17,4491,3567,947,1082,4941,675
TEINH18,5253,5123,946,1191,5898,547
TEINH19,6279,6585,971,1095,7000,1040
TEINH2,4831,3545,1295,1549,5544,1339
TEINH20,4634,4729,420,690,5292,139
TEINH21,3559,3072,777,865,4037,385
TEINH3,3479,2176,482,629,3758,145
TEINH4,2983,1698,1046,915,3470,645
TEINH5,3345,1911,883,907,3653,449
TEINH6,2560,1508,529,661,2791,145
TEINH7,2692,1872,431,669,2934,68
TEINH8,2246,1260,440,673,2390,57
TEINH9,3462,3183,570,861,3903,162
VECA,3263,2478,1271,2422,3622,109
VECC,3142,2557,2295,2591,3885,1025
VECV,3497,2928,2574,3060,4477,2780
VLMC1,1908,1292,1916,2177,2800,702
VLMC2,2623,2147,1949,2585,3417,662
VSMCA,1775,1316,2272,2326,2967,1221
