annotation,DET,GES,NSI,EP,ESmu
TEINH18,5253,5123,946,1191,5898
TEINH19,6279,6585,971,1095,7000
TEINH2,4831,3545,1295,1549,5544
TEINH20,4634,4729,420,690,5292
TEINH21,3559,3072,777,865,4037
TEINH3,3479,2176,482,629,3758
TEINH4,2983,1698,1046,915,3470
TEINH5,3345,1911,883,907,3653
TEINH6,2560,1508,529,661,2791
TEINH7,2692,1872,431,669,2934
TEINH8,2246,1260,440,673,2390
TEINH9,3462,3183,570,861,3903
VECA,3263,2478,1271,2422,3622
VECC,3142,2557,2295,2591,3885
VECV,3497,2928,2574,3060,4477
VLMC1,1908,1292,1916,2177,2800
VLMC2,2623,2147,1949,2585,3417
VSMCA,1775,1316,2272,2326,2967
