tissue_celltype,tissue,cell_type,n_cells,annotation,color_by_variable,annotation_fmt,DET,GES,NSI,EP,ESmu,N_cells_es
Marrow.granulocytopoietic_cell,Marrow,granulocytopoietic cell,221,Marrow.granulocytopoietic_cell,Marrow,Marrow - granulocytopoietic cell,2611,2352,975,1217,2971,221
Marrow.hematopoietic_precursor_cell,Marrow,hematopoietic precursor cell,265,Marrow.hematopoietic_precursor_cell,Marrow,Marrow - hematopoietic precursor cell,5245,4168,612,1848,5562,265
Marrow.immature_B_cell,Marrow,immature B cell,344,Marrow.immature_B_cell,Marrow,Marrow - immature B cell,3055,1651,990,1453,3485,344
Marrow.immature_natural_killer_cell,Marrow,immature natural killer cell,36,Marrow.immature_natural_killer_cell,Marrow,Marrow - immature natural killer cell,1262,612,315,439,1364,36
Marrow.immature_NK_T_cell,Marrow,immature NK T cell,37,Marrow.immature_NK_T_cell,Marrow,Marrow - immature NK T cell,1562,823,303,474,1693,37
Marrow.immature_T_cell,Marrow,immature T cell,60,Marrow.immature_T_cell,Marrow,Marrow - immature T cell,1601,867,413,806,1773,60
Marrow.late_pro-B_cell,Marrow,late pro-B cell,306,Marrow.late_pro-B_cell,Marrow,Marrow - late pro-B cell,4270,3980,904,1676,4774,306
Marrow.macrophage,Marrow,macrophage,173,Marrow.macrophage,Marrow,Marrow - macrophage,2908,1798,660,1292,3143,173
Marrow.mature_natural_killer_cell,Marrow,mature natural killer cell,49,Marrow.mature_natural_killer_cell,Marrow,Marrow - mature natural killer cell,2120,786,389,483,2213,49
Marrow.megakaryocyte-erythroid_progenitor_cell,Marrow,megakaryocyte-erythroid progenitor cell,55,Marrow.megakaryocyte-erythroid_progenitor_cell,Marrow,Marrow - megakaryocyte-erythroid progenitor cell,4277,4549,359,1395,5102,55
Marrow.monocyte,Marrow,monocyte,266,Marrow.monocyte,Marrow,Marrow - monocyte,3034,2190,728,1065,3371,266
Marrow.naive_B_cell,Marrow,naive B cell,692,Marrow.naive_B_cell,Marrow,Marrow - naive B cell,1878,816,679,1148,2300,692
Marrow.pre-natural_killer_cell,Marrow,pre-natural killer cell,22,Marrow.pre-natural_killer_cell,Marrow,Marrow - pre-natural killer cell,2999,2590,276,631,3566,22
Marrow.precursor_B_cell,Marrow,precursor B cell,517,Marrow.precursor_B_cell,Marrow,Marrow - precursor B cell,2407,1064,1117,1634,2897,517
Marrow.regulatory_T_cell,Marrow,regulatory T cell,27,Marrow.regulatory_T_cell,Marrow,Marrow - regulatory T cell,1170,634,304,635,1348,27
Marrow.Slamf1-negative_multipotent_progenitor_cell,Marrow,Slamf1-negative multipotent progenitor cell,713,Marrow.Slamf1-negative_multipotent_progenitor_cell,Marrow,Marrow - Slamf1-negative multipotent progenitor cell,5434,5444,948,2344,6056,713
Marrow.Slamf1-positive_multipotent_progenitor_cell,Marrow,Slamf1-positive multipotent progenitor cell,134,Marrow.Slamf1-positive_multipotent_progenitor_cell,Marrow,Marrow - Slamf1-positive multipotent progenitor cell,4851,5017,542,1698,5600,134
Pancreas.endothelial_cell,Pancreas,endothelial cell,66,Pancreas.endothelial_cell,Pancreas,Pancreas - endothelial cell,1948,1449,443,984,2197,66
Pancreas.leukocyte,Pancreas,leukocyte,54,Pancreas.leukocyte,Pancreas,Pancreas - leukocyte,1240,1148,341,875,1596,54
Pancreas.pancreatic_A_cell,Pancreas,pancreatic A cell,390,Pancreas.pancreatic_A_cell,Pancreas,Pancreas - pancreatic A cell,3992,4724,1315,2624,5032,390
Pancreas.pancreatic_acinar_cell,Pancreas,pancreatic acinar cell,182,Pancreas.pancreatic_acinar_cell,Pancreas,Pancreas - pancreatic acinar cell,867,806,1288,2704,3005,182
Pancreas.pancreatic_D_cell,Pancreas,pancreatic D cell,140,Pancreas.pancreatic_D_cell,Pancreas,Pancreas - pancreatic D cell,4291,4589,1146,2672,5092,140
Pancreas.pancreatic_ductal_cell,Pancreas,pancreatic ductal cell,161,Pancreas.pancreatic_ductal_cell,Pancreas,Pancreas - pancreatic ductal cell,4233,3416,968,1859,4635,161
Pancreas.pancreatic_PP_cell,Pancreas,pancreatic PP cell,73,Pancreas.pancreatic_PP_cell,Pancreas,Pancreas - pancreatic PP cell,3259,3569,619,1650,4042,73
Pancreas.pancreatic_stellate_cell,Pancreas,pancreatic stellate cell,49,Pancreas.pancreatic_stellate_cell,Pancreas,Pancreas - pancreatic stellate cell,2296,1818,526,1376,2612,49
Pancreas.type_B_pancreatic_cell,Pancreas,type B pancreatic cell,449,Pancreas.type_B_pancreatic_cell,Pancreas,Pancreas - type B pancreatic cell,4237,5210,1483,2977,5545,449
