Annotation,Coefficient p-value,Coefficient,Coefficient std error,FDR < 0.05,annotation,Annotation size,h2g prop.,h2g enrichment,h2g enrichment P-value,"AD (Jansen, 2019)","ADHD (Demontis, 2017)","AN (Duncan, 2017)","ASD (Grove, 2018)","BIP (PGC, 2018)","CAD (Schunkert, 2011)","CVD (Loh, 2018)","CELIAC (Dubois, 2010)","CROHNS (Jostins, 2012)","DEP (Nagel, 2018)","BP_DIA (Loh, 2018)","EA3 (Lee, 2018)","FG_F (Lagou, 2018)","FI_F (Lagou, 2018)","HBA1C (Wheeler, 2017)","HEIGHT (Loh, 2018)","IBD (Jostins, 2012)","INS (Jansen, 2018)","INT (Savage, 2018)","HDL (Teslovich, 2010)","LDL (Teslovich, 2010)","TG (Teslovich, 2010)","SLE (Bentham, 2015)","MDD (Howard, 2019)","MS (Patsopoulos, 2011)","NEU (Nagel, 2018)","PBC (Cordell, 2015)","RA (Okada, 2014)","RT (Linner, 2019)","SCZ (Pardinas, 2018)","SWB (Okbay, 2016)","BP_SYS (Loh, 2018)","T1D (Bradfield, 2011)","T2D (Loh, 2018)","UC (Jostins, 2012)","WHR (Pulit, 2019)","WHRadjBMI (Loh, 2018)","WORRY (Nagel, 2018)"
TEGLU3,0.003032828618233233,1.1734534273503404e-8,4.276105263101367e-9,FALSE,TEGLU3,0.19296389893893984,0.2441293148467097,1.265155379784072,1.483425871022002e-12,0.4251865266085821,0.004694163152447397,0.35154592232566684,0.15850758887497673,3.483880694011707e-7,0.35980321083604605,0.2191773062364004,0.9259173318060488,0.44161441455820105,0.0013545398793317015,0.561309412236591,3.720596787449869e-9,0.8628287760035567,0.9907149642745674,0.4841391394140869,0.9999059053560341,0.09366804257098854,0.050457244137065926,1.926496390003203e-10,0.17273614088615502,0.2471683782512815,0.6081217865871491,0.4922449764518588,0.0016749247091550625,0.1982427238679625,4.5391911686321976e-5,0.24731286529183436,0.4652422282211941,0.001027895426465899,1.990178098592945e-10,0.2809590937595007,0.6401124317182236,0.22271071894916755,0.6979716815774115,0.03919767049676987,0.8891619179063595,0.999942758634488,5.304942485122292e-7
TEINH4,0.003180311149824364,1.4832803452466542e-8,5.436074060871424e-9,FALSE,TEINH4,0.0999231410197187,0.1316174410421961,1.3171867867546607,3.3872021604878997e-8,0.14875589255537194,0.021486586606831386,0.08252812857105879,0.055198036439652924,4.875879348872042e-4,0.17659322024392726,0.2724753595245403,0.6680552668947826,0.8686281926822941,2.215318935361792e-4,0.21392566931029167,3.5055068250109826e-4,0.12297639072914628,0.1975120891655356,0.20280793384388265,0.7279515148233362,0.9174707652347124,0.023196569174146375,6.09682732919824e-5,0.583197565175857,0.4292780862733665,0.3019046767531344,0.4939198662237225,0.0010319935513585009,0.18873978132674707,3.3256241405232666e-4,0.6241842580506523,0.5196840932435021,0.5402635700677724,6.058259505983525e-5,0.6103113816768668,0.3332848465338094,0.07081219780254315,0.8881239926774642,0.9763120957936868,0.0533673726696692,0.667964320643319,1.429229046076119e-4
HBCHO3,0.003269833494560868,1.9158401864931677e-8,7.045034414720196e-9,FALSE,HBCHO3,0.19177650528566426,0.24350770448398296,1.2697473244767996,1.9717706360613396e-11,0.17412616520496105,0.05673013822059071,0.5704620290877526,0.16790217270094582,6.034436780962393e-5,0.4212180360056431,0.6119926103570956,0.7486994385459662,0.8767232036644683,0.29624967631742205,0.9079373631930292,0.07968141672380208,0.08695865034414513,0.43275105144579457,0.0853857757739726,0.9677269893584572,0.8571516972406279,0.2629247442102773,0.027713768871220526,0.7518887323593649,0.9412989021777732,0.7125739743699765,0.6492025598565213,0.2331669702929384,0.4963320145218582,0.4030857060712812,0.04339962151205408,0.7202750290748291,0.3289051385516029,0.03466780299078614,0.3857830476397054,0.781359197406007,0.3783491021409364,0.3901689775810217,0.5374294643141939,0.11631017148042765,0.8604365628439836,0.2136620790623157
SCINH10,0.003836038612247579,1.5556561805167186e-8,5.834796312614823e-9,FALSE,SCINH10,0.05623477788691009,0.07710447002239224,1.371117179078252,1.1903140269978379e-9,0.7144551650827273,0.2129399281269032,0.8447262108122595,0.10288410551670728,0.029708154899539176,0.12489628637326787,0.7954130404748143,0.822439186784721,0.740513439413231,0.3723569869957609,0.7640424031925603,0.04182251730971248,0.06971568466108853,0.44251650143339133,0.100872721979948,0.23265848882379755,0.6636487166563898,0.11335181546632946,0.12115383915616855,0.1839200281519745,0.4657384327721965,0.17380006119509211,0.9563397933315404,0.102692324015918,0.4324853628204677,0.208770067969032,0.977216227935374,0.9575576192639452,0.06558717656306744,0.012874469700161852,0.30251607871888114,0.5434440276871366,0.2254990978065478,0.12904397480722896,0.9088217059782732,0.2695633608811933,0.5462005557759563,0.21249170559064645
TEGLU13,0.004161058557481387,1.2407979751603235e-8,4.702283017334184e-9,FALSE,TEGLU13,0.16527431737372292,0.2096841519548986,1.2687037846343356,1.3615288714755998e-10,0.6461625577001121,0.0382331355367512,0.7501716801776344,0.10059454309059096,2.367301159691943e-6,0.1856829707384478,0.3468312613592241,0.1675954623813929,0.8396434531014338,0.036008373124369566,0.7750139462783705,5.159679319553291e-6,0.15564268731530856,0.5194499658227079,0.19478582560715835,0.9979295545003946,0.17624054686139473,0.011088006692159149,6.632982362107893e-6,0.33697835271467524,0.18130536326077484,0.14970371396815008,0.20033497752709697,0.008759808778325655,0.025048716301487514,1.311761429027364e-7,0.010951363992492759,0.42663417521934377,0.0034897916628748296,2.337878458734415e-7,0.2149211807231552,0.5999098447013379,0.4792711964527845,0.02337334247504778,0.06534908272077226,0.2907745222571593,0.8530419967897558,3.141230021535785e-7
DEGLU1,0.004271688826407078,1.0514726833233764e-8,3.998290955746939e-9,FALSE,DEGLU1,0.22988713576654984,0.2866343607388118,1.2468481969773582,2.2002777704292394e-12,0.10802276338142736,0.008578218859556959,0.6819132051044761,0.35781612435637833,9.430621525638916e-5,0.40846387677956497,0.0810047099691043,0.6803886021908853,0.1000986174906648,0.027346568712452814,0.5959254106169489,0.002580028032308216,0.22930919882286446,0.5254591283732521,0.033247886133250505,0.9989543461789804,0.10830734484448873,3.629262717973177e-5,0.0012733228582561989,0.23728906449402185,0.047461104890807626,0.3008740167756272,0.017262601356923354,0.0011650374942109266,0.00897120862796138,2.6316615696660324e-4,0.02447509674491249,0.14529942236529392,0.003681599471922504,2.8696629746031483e-4,0.4196308300544183,0.4867763340530191,0.09578676232861104,0.14854134479440328,0.19901367733757647,0.8251838751620101,0.9943125340766721,4.989354559422638e-6
MEGLU4,0.004508180213135725,1.6214136378297073e-8,6.208903396714505e-9,FALSE,MEGLU4,0.11333830034865815,0.15257369013698607,1.3461794439093369,4.766329207530364e-9,0.5976465295796815,0.4734302187782313,0.04832185743273841,0.09876524088795374,1.1844345345607474e-6,0.06559425007216295,0.3017256017224805,0.3233527040672296,0.13446804640340965,0.05744926171331534,0.6458315375080963,6.091493917757705e-4,0.6741006513628042,0.9693867805556788,0.44613519510946015,0.9994427774205978,0.3542805826564039,0.004458244612080167,3.737511553837296e-4,0.6182437067570956,0.6161586481461275,0.2361609799086327,0.8338614307314753,0.0066352090920100155,0.12814657107180144,0.001224554636498867,0.15050232302676025,0.2510722268600244,0.001777295395530847,0.011820555207036546,0.25472102176757433,0.5975436677209562,0.18384960893247612,0.6126366401631743,0.7642444143791829,0.07858262854474263,0.8496567912051155,1.3030171114991335e-8
TEGLU15,0.004671509893211039,1.2069882804263936e-8,4.643618487460042e-9,FALSE,TEGLU15,0.1859205187364606,0.2354538302819492,1.2664219736590845,7.470460145429157e-12,0.13535483014538954,0.20479877073273595,0.3576772042673736,0.3947341984575324,1.7891761960151808e-4,0.404356025188836,0.03485481661729085,0.7757248489641883,0.3547941223492013,2.667487944091897e-4,0.8565294075757098,3.5910116206628717e-7,0.5771202962990706,0.5113259976174347,0.18889939073297346,0.932080653537108,0.4542895713830391,0.006433638184912733,3.817758892449385e-7,0.5438054701229376,0.10179478411539684,0.6539045029373095,0.3736901990180789,0.004086425749874458,0.2165074275176223,4.168616248027147e-6,0.10269310185793497,0.5545558682726922,0.032854410209244754,3.877388975667577e-4,0.2653302342725238,0.7739536558330844,0.0074297910375569565,0.01948739264284555,0.4237182795510802,0.3323094375339016,0.9136932653848384,1.9873766303182145e-7
TEINH3,0.005537242320461868,2.6363395350810014e-8,1.03779015603342e-8,FALSE,TEINH3,0.08695250618034403,0.12239476501228087,1.4076047993191565,1.2150803445133308e-6,0.12233529289092147,0.022395055460884283,0.03394145479860725,0.10462853245815984,0.01919567058032348,0.011717196845397656,0.2375964651922325,0.5756226312721873,0.7173313321544632,0.10325580472711404,0.7920653092152792,0.03356586227139146,0.2400240710131853,0.1369342461430646,0.2991719113201696,0.9610478059682158,0.8407274789903793,0.10763827691363054,0.011454446893136336,0.26076039335082285,0.17795487031514778,0.05855251529184336,0.5357032828258711,0.16017210775094934,0.18824705252751814,0.057611509445729674,0.6068172843131084,0.18145093094075315,0.4049181786477361,0.042129122189292594,0.028471176746578876,0.5735698940368564,0.03511621505059724,0.0508218602516741,0.8229547387540774,0.1001658489877259,0.5527167003302876,3.1583166704267325e-4
DEINH4,0.005672387706051714,1.3659144665128788e-8,5.3948292758920194e-9,FALSE,DEINH4,0.0800122425162921,0.10377263433096699,1.2969594535465845,5.267591440652471e-9,0.20857056783894656,0.11049628806932964,0.4410993311007269,0.030617796799213,0.0013488678430639337,0.12163284807546032,0.7273413596405587,0.6801880134536337,0.9029175469436452,0.026861421374938358,0.9803544694028804,2.600829723442503e-5,0.3341194658951989,0.6968363189074326,0.841868829357483,0.96300007064601445,0.8281436732604321,9.462004927648504e-4,3.6810143846445405e-6,0.15401090082047875,0.4730946751568819,0.17406698187408798,0.2016100358210094,0.03685539574215708,0.7705637439867294,5.259871162494001e-4,0.243198617280712,0.5011070172877075,0.22884654682509986,0.022281681813510985,0.043488840799819725,0.8865631193733208,0.4590894225142639,0.29253501857006714,0.9107382238536624,0.3181063361755705,0.9779774266925082,2.2737798573527882e-4
OBINH5,0.0061377224482299176,2.167786874683541e-8,8.656861604835886e-9,FALSE,OBINH5,0.05513070392677633,0.08240079736997864,1.4946443905273183,5.7182774198858596e-6,0.7462391049271189,0.7210758656581527,0.3772180329510837,0.6155948095844936,0.09984159200052932,0.3858885437676843,0.07521036984604504,0.2732230134822397,0.6622130125262081,0.7125766567564651,0.11968917787485715,2.8529335468981495e-4,0.5787972052553081,0.624574367335712,0.02372838230421483,0.4380084320975998,0.31505645681031497,0.18234701736474546,0.029717668697679743,0.3384440506305145,0.15643034781474496,0.29505506701676465,0.6929411347178152,0.3710705300019882,0.22160249263248416,0.5478350794698156,0.9501373223356168,0.05275219749326929,0.1555685410336859,0.03317442237498138,0.8135568117920771,0.15526184824605824,0.15373650175318346,0.2170452692829664,0.3615416559836616,0.1535720125050492,0.4345567585286759,0.2747559550371388
TEGLU12,0.0061969967144843525,1.0475410710457063e-8,4.188952159526617e-9,FALSE,TEGLU12,0.15689870467124736,0.19907911926040006,1.268838513852196,5.1369249022552165e-12,0.0993472654787408,0.0026225771059163,0.5444303280739635,0.004382591385259631,5.365437111212622e-7,0.6284479131563043,0.19410554313541226,0.496576966287276,0.3685126305673619,0.07110907270289826,0.9050616055569496,6.617456161466733e-7,0.8005776926850405,0.971378513480082,0.09258127335774702,0.9973070526472768,0.09053823518254096,2.3271744499362616e-4,2.294791900415213e-6,0.23116744396990324,0.5250021239554319,0.6850872721146823,0.2322724060511145,0.008795945016618999,0.005056517252003095,1.7445257859931567e-4,0.14558366126534378,0.6816202379101254,0.006251578744961632,3.1295039185722624e-7,0.24949397810339904,0.9568826025697068,0.07698361178063738,0.5996561522868151,0.05284417221203272,0.9591731137507484,0.9999564036580016,6.008886976785962e-5
DECHO1,0.006505155631405979,1.1912581048133156e-8,4.796715841642733e-9,FALSE,DECHO1,0.15490199931714102,0.1940849622529401,1.2529532421048826,6.610468575432026e-11,0.18528308255695772,0.11646682216007335,0.41020496281222457,0.12777007143804134,0.006099621940984162,0.2208797547880992,0.2406392312667415,0.5771182748351711,0.7886333492004024,0.10734556402801683,0.7259723316276671,0.0014956619160523472,0.2283414519566723,0.9786200262259324,0.08450864860397722,0.2953044036429953,0.7351443899477053,0.021976240027426187,7.349858862264061e-4,0.97173430019618,0.5199703654708882,0.8243666977587214,0.5838044335165647,0.11479531085373353,0.35124035797141095,0.14764193812582493,0.3877151398045735,0.3232612132565797,0.2907256143391423,0.032663664982673736,0.5825477829767353,0.8591398936564596,0.2812191285660855,0.5493874210549282,0.22423791594457754,0.7182795726383847,0.993832214687012,0.2636609613771522
SCGLU3,0.007473847449261283,1.9840588123982337e-08,8.152626021120385e-9,FALSE,SCGLU3,0.06583377397954611,0.09214382031428388,1.399643598480501,5.0647728939620746e-8,0.9161524220400784,0.2063377578869951,0.4415706027221688,0.1000484269124602,0.011176436704108422,0.03128408055195201,0.1819775121099359,0.7801147430583715,0.5898224091584736,0.2869785892602641,0.8742994282707703,0.0013250520100635097,0.4936427096483532,0.9063073196162049,0.09683430008105298,0.8344448316495856,0.5481089416579411,0.006357922392022619,0.003593483796984405,0.17426110842320885,0.4190688804908408,0.17874655902314113,0.5470949469403009,0.0808175161246164,0.1618211935706781,0.2846056339822457,0.5114982419549323,0.07803422883075109,0.16980014870693455,0.07066692949612541,0.09587815791205773,0.7051803886317058,0.16480590869608747,0.17598974463624167,0.7737681683786665,0.010358540570826674,0.5913854198439825,0.08330728501272061
DEINH6,0.00764787598908253,1.9065742257812087e-8,7.861190075519095e-9,FALSE,DEINH6,0.04156197054961985,0.05876314291908352,1.4138680659745813,5.549997047706321e-6,0.16103396899806044,0.059568464361098514,0.6944538516118192,0.0215908861961928,0.06040890807903225,0.684952179320668,0.03953453556312665,0.35459981276395125,0.27245289391002914,0.13184429824233698,0.22152371810586505,0.16881617639759786,0.891846881344527,0.8310896742254971,0.03409850465299261,0.4896310957558497,0.26154279210601794,0.1950843135405976,0.5949006852945906,0.07713127208095777,0.16640269925132994,0.10198323908281676,0.4347887782730657,0.007499892860724782,0.12809103378502035,0.09775734834678512,0.9980347758776132,0.13899552064879014,0.4130113355160483,0.4627943521655493,0.10103717703794857,0.1364523082793937,0.8326878562045614,0.1932665203697948,0.08936320139155529,0.3057479518654822,0.8861922691975052,0.3767088524596831
MEINH12,0.007702940267407819,3.134991665523411e-8,1.2940103655990638e-8,FALSE,MEINH12,0.06906804839688893,0.10222313191143884,1.4800350420215918,2.552473921819191e-5,0.24420027175666986,0.4792442032466881,0.6231807629778493,0.18795003817836706,0.0015857759867440088,0.36720262108681623,0.7819575696424153,0.20607644050489365,0.7209780906196748,0.33764227056160745,0.9615500735874728,0.09733290576347133,0.3475248683811375,0.7468562848173033,0.9370027427812632,0.9906005616406042,0.6765163866582891,0.09573929180443323,0.02004044481663816,0.9197903332440972,0.2305787266460204,0.4489563103441497,0.2781324569946285,0.003518065617457197,0.23435582392664486,0.0038283295058929023,0.6003178730913803,0.6874321917043481,0.0262443225199278,0.08880798819706615,0.0808107309172203,0.9484119271922702,0.3138694978479393,0.5927879905151849,0.6485232247195775,0.10739658426254396,0.9793697204977978,0.009413268253333069
MBDOP1,0.007963268928674987,3.1443195398327214e-8,1.304375054773194e-8,FALSE,MBDOP1,0.05939484869158442,0.09251192514265648,1.5575748937931782,6.314667590191878e-5,0.4173954343786739,0.025734989097569213,0.4494613907598878,0.3570226979306921,0.415227325591345,0.08115107822833956,0.7038343284014914,0.6320778272046501,0.9164808143954696,0.02199728705598344,0.9712985559916192,0.03340224005137078,0.1602514738770725,0.5064891382672239,0.4026348740301712,0.37506266048087306,0.7572711152111677,0.3470214307738161,0.011035597841826592,0.18137317121490584,0.9429163343078484,0.05495705631103448,0.5756636077446861,0.07222825656095429,0.4389660482384926,0.028118566351747105,0.8715994881039549,0.7292546347681358,0.6058712699029267,0.9579965909931596,0.1836057524291066,0.8153553281799721,0.15559806980727714,0.031782733092391297,0.5429461467390274,0.056661741699483424,0.7122250954468851,0.05595669510347545
TEGLU18,0.008027444531897136,1.1633552417236592e-8,4.831880935388361e-9,FALSE,TEGLU18,0.20427782272449704,0.25733799153187564,1.25974512602349,1.4235382655971898e-10,0.7216575038537265,0.08468298381395872,0.5419034463252612,0.08079931733101509,8.535871232831285e-9,0.030590593610199963,0.10405420821531486,0.20188618523299331,0.5558401612550496,0.003873456404863346,0.4737877068708358,2.8546412564617623e-8,0.057616903005232575,0.8381981663117938,0.6808209229568698,0.9776275828260008,0.6121710022004264,2.9989382453471e-4,1.867433189149117e-9,0.3260115901757622,0.4040730641237093,0.29168104023383024,0.4947124010571897,0.005888263085932901,0.1135160059171808,5.8678039840484876e-6,0.0399563088144857,0.2083167060515297,6.654453058680224e-4,4.0785667741984456e-11,0.16122096915937673,0.4969122472133036,0.2963030703930781,0.2563014368468897,0.29906106176538355,0.6856649243880537,0.9979895687842985,4.626855051168095e-6
