annotation,Bdnf,Cep19,Ksr2,Lepr,Mc4r,Ntrk2,Pcsk1,Pomc,Sh2b1,Sim1,Wnt10b,Zbtb7b,Ache,Prkag1,Rab21,Hip1r,Zfhx3,Gipr,Entpd6,Zfr2
n15.Pomc-Anxa2,0.032520325203252,0.420054200542005,0.21680216802168,0.0894308943089431,0.00542005420054201,0.712737127371274,0.636856368563686,0.994579945799458,0.222222222222222,0.002710027100271,0,0.02710027100271,0.626016260162602,0.295392953929539,0.176151761517615,0.0704607046070461,0.384823848238482,0,0.365853658536585,0.173441734417344
n16.Rgs16-Vip,0.0421940928270042,0.172995780590717,0.0886075949367089,0,0.00210970464135021,0.381856540084388,0.160337552742616,0.080168776371308,0.0738396624472574,0,0,0.0105485232067511,0.179324894514768,0.107594936708861,0.0717299578059072,0.0654008438818566,0.660337552742616,0,0.143459915611814,0.069620253164557
n17.Rgs16-Dlx1,0,0.490566037735849,0.160377358490566,0,0.0188679245283019,0.584905660377359,0.0849056603773585,0.122641509433962,0.141509433962264,0,0,0,0.216981132075472,0.19811320754717,0.0754716981132076,0.0377358490566038,0.0660377358490566,0,0.216981132075472,0.0943396226415094
n18.Rgs16-Slc17a6,0.0193798449612403,0.344961240310078,0.0930232558139535,0.00775193798449612,0,0.503875968992248,0.162790697674419,0.124031007751938,0.127906976744186,0.00775193798449612,0,0.00387596899224806,0.10077519379845,0.151162790697674,0.0968992248062016,0.0736434108527132,0.0930232558139535,0,0.174418604651163,0.062015503875969
n19.Gpr50,0,0.417910447761194,0.283582089552239,0,0.119402985074627,0.567164179104478,0.0895522388059701,0.164179104477612,0.149253731343284,0,0,0,0.343283582089552,0.149253731343284,0.0895522388059701,0.0746268656716418,0.388059701492537,0,0.343283582089552,0.149253731343284
n20.Kiss1-Tac2,0.170471841704718,0.337899543378995,0.179604261796043,0.0030441400304414,0.0106544901065449,0.423135464231355,0.558599695585997,0.184170471841705,0.141552511415525,0,0,0.0091324200913242,0.392694063926941,0.21765601217656,0.103500761035008,0.091324200913242,0.426179604261796,0,0.424657534246575,0.111111111111111
n21.Pomc-Glipr1,0.148387096774194,0.393548387096774,0.235483870967742,0.0129032258064516,0.032258064516129,0.632258064516129,0.329032258064516,0.625806451612903,0.206451612903226,0,0,0.00645161290322581,0.47741935483871,0.225806451612903,0.174193548387097,0.1,0.47741935483871,0,0.425806451612903,0.145161290322581
n22.Tmem215,0.023936170212766,0.299202127659575,0.172872340425532,0.00398936170212766,0.0851063829787234,0.480053191489362,0.288563829787234,0.224734042553192,0.13031914893617,0.00132978723404255,0,0,0.345744680851064,0.206117021276596,0.13031914893617,0.0571808510638298,0.384308510638298,0.00265957446808511,0.276595744680851,0.11436170212766
n23.Sst-Unc13c,0.0144927536231884,0.315217391304348,0.172101449275362,0,0.00181159420289855,0.594202898550725,0.153985507246377,0.173913043478261,0.134057971014493,0,0,0.00543478260869565,0.41304347826087,0.210144927536232,0.123188405797101,0.0760869565217391,0.16304347826087,0,0.344202898550725,0.105072463768116
n24.Sst-Pthlh,0.0203252032520325,0.398373983739837,0.247967479674797,0.0121951219512195,0.00813008130081301,0.666666666666667,0.0691056910569106,0.166666666666667,0.142276422764228,0,0,0,0.394308943089431,0.203252032520325,0.150406504065041,0.0772357723577236,0.0365853658536585,0,0.378048780487805,0.146341463414634
n25.Th-Lef1,0.0174672489082969,0.323144104803493,0.148471615720524,0,0,0.62882096069869,0.213973799126638,0.122270742358079,0.139737991266376,0,0,0.00436681222707424,0.266375545851528,0.170305676855895,0.122270742358079,0.0829694323144105,0.174672489082969,0,0.218340611353712,0.091703056768559
n26.Htr3b,0,0.411522633744856,0.203703703703704,0,0.00205761316872428,0.602880658436214,0.166666666666667,0.17283950617284,0.156378600823045,0,0,0.00617283950617284,0.458847736625515,0.216049382716049,0.10082304526749,0.0925925925925926,0.286008230452675,0,0.366255144032922,0.154320987654321
n27,0.00232018561484919,0.317865429234339,0.150812064965197,0.0417633410672854,0.00232018561484919,0.566125290023202,0.14385150812065,0.194895591647332,0.146171693735499,0,0,0.00232018561484919,0.408352668213457,0.204176334106729,0.109048723897912,0.08584686774942,0.0928074245939675,0.00464037122969838,0.269141531322506,0.0881670533642691
n28.Qrfp,0.212121212121212,0.287878787878788,0.181818181818182,0,0.0151515151515152,0.636363636363636,0.636363636363636,0.136363636363636,0.181818181818182,0,0,0.0151515151515152,0.53030303030303,0.181818181818182,0.212121212121212,0.0303030303030303,0.227272727272727,0,0.303030303030303,0.121212121212121
n29.Nr5a1-Adcyap1,0.414765100671141,0.336912751677852,0.16510067114094,0.00536912751677852,0.0375838926174497,0.578523489932886,0.242953020134228,0.136912751677852,0.132885906040268,0,0,0,0.469798657718121,0.148993288590604,0.124832214765101,0.0630872483221477,0.190604026845638,0.00402684563758389,0.471140939597315,0.126174496644295
n30.Nr5a1-Nfib,0.0632911392405063,0.278481012658228,0.123417721518987,0.00316455696202532,0.00316455696202532,0.54746835443038,0.231012658227848,0.107594936708861,0.0917721518987342,0.00632911392405063,0,0,0.306962025316456,0.139240506329114,0.10126582278481,0.060126582278481,0.0727848101265823,0,0.338607594936709,0.110759493670886
n31.Fam19a2,0.116959064327485,0.432748538011696,0.216374269005848,0.0233918128654971,0.0116959064327485,0.707602339181287,0.239766081871345,0.192982456140351,0.169590643274854,0,0,0.00584795321637427,0.321637426900585,0.239766081871345,0.111111111111111,0.087719298245614,0.169590643274854,0,0.368421052631579,0.16374269005848
n32.Slc17a6-Trhr,0.175438596491228,0.359649122807018,0.190058479532164,0.00292397660818713,0.0701754385964912,0.628654970760234,0.321637426900585,0.190058479532164,0.149122807017544,0,0,0,0.347953216374269,0.172514619883041,0.146198830409357,0.0789473684210526,0.453216374269006,0.00584795321637427,0.47953216374269,0.14327485380117
n33.unassigned(1),0.235714285714286,0.297619047619048,0.135714285714286,0,0.0214285714285714,0.495238095238095,0.24047619047619,0.142857142857143,0.10952380952381,0.0380952380952381,0,0,0.385714285714286,0.185714285714286,0.0952380952380952,0.0666666666666667,0.323809523809524,0,0.326190476190476,0.0833333333333333
n34.unassigned(2),0.0231716147719044,0.284576393917451,0.123823316437364,0.00651701665459812,0.0123099203475742,0.525706010137581,0.132512671976828,0.112237509051412,0.0977552498189718,0.00651701665459812,0,0.00434467776973208,0.325850832729906,0.160753077480087,0.0941346850108617,0.0738595220854453,0.3091962346126,0.00144822592324403,0.260680666183925,0.0876176683562636
s01.Ependymocy1,0,0.513513513513514,0.0810810810810811,0,0,1,0.0540540540540541,0.243243243243243,0.297297297297297,0,0,0.027027027027027,0.027027027027027,0.675675675675676,0.216216216216216,0.243243243243243,0.108108108108108,0,0.162162162162162,0.216216216216216
s02.Ependymocy2,0,0.325581395348837,0.0162790697674419,0.00232558139534884,0,0.902325581395349,0.0116279069767442,0.22093023255814,0.104651162790698,0,0,0.0372093023255814,0.00930232558139535,0.276744186046512,0.106976744186047,0.0930232558139535,0.111627906976744,0,0.0883720930232558,0.0837209302325582
s03.Oligodendro1,0,0.0434782608695652,0,0,0,0.260869565217391,0,0.0869565217391304,0.347826086956522,0,0,0.0869565217391304,0,0.217391304347826,0.217391304347826,0.478260869565217,0.0434782608695652,0.0434782608695652,0,0
s04.Oligodendro2,0.166666666666667,0,0,0,0,0.25,0,0.166666666666667,0.333333333333333,0,0,0.25,0,0.25,0.0833333333333333,0.5,0,0,0,0.0833333333333333
s05.Oligodendro3,0.0104166666666667,0.0729166666666667,0.0104166666666667,0,0,0.1875,0.0104166666666667,0.09375,0.15625,0,0,0.208333333333333,0,0.135416666666667,0.0625,0.427083333333333,0.0416666666666667,0.0208333333333333,0.0104166666666667,0.0416666666666667
s06.Oligodendro4,0.00255102040816327,0.0357142857142857,0.00255102040816327,0.00255102040816327,0,0.0790816326530612,0,0.0918367346938776,0.0918367346938776,0.00255102040816327,0,0.0841836734693878,0.00510204081632653,0.127551020408163,0.0892857142857143,0.170918367346939,0.038265306122449,0.00510204081632653,0.00510204081632653,0.0280612244897959
s07.Oligodendro5,0,0.102564102564103,0,0,0,0.230769230769231,0.0256410256410256,0.102564102564103,0.307692307692308,0,0,0.102564102564103,0,0.358974358974359,0.153846153846154,0.512820512820513,0.0512820512820513,0,0.0769230769230769,0.102564102564103
s08.Pars_Tuber1A,0,0.714285714285714,0.571428571428571,0.0476190476190476,0,0.404761904761905,0.857142857142857,0.357142857142857,0.523809523809524,0.0238095238095238,0,0.30952380952381,0.0238095238095238,0.476190476190476,0.357142857142857,0.261904761904762,0.928571428571429,0,0.0714285714285714,0.19047619047619
s09.Pars_Tuber1B,0.2,0.0666666666666667,0,0,0,0.266666666666667,0.2,0.2,0.0666666666666667,0,0,0.133333333333333,0.0666666666666667,0,0.133333333333333,0.0666666666666667,0.4,0,0.133333333333333,0.2
s10.Pars_Tuber1C,0,0.258064516129032,0.0430107526881721,0,0.032258064516129,0.526881720430108,0.118279569892473,0.172043010752688,0.268817204301075,0,0,0.139784946236559,0.010752688172043,0.268817204301075,0.182795698924731,0.118279569892473,0.397849462365591,0.010752688172043,0.021505376344086,0.0537634408602151
s11.Endothelial,0.00416666666666667,0.0875,0.00416666666666667,0.0875,0,0.0791666666666667,0.00416666666666667,0.254166666666667,0.0708333333333333,0,0,0.0125,0.00416666666666667,0.175,0.0458333333333333,0.183333333333333,0.0916666666666667,0,0.0166666666666667,0.0166666666666667
s12.Mural_Cells1,0,0.172413793103448,0,0.0689655172413793,0,0.0689655172413793,0,0.137931034482759,0.137931034482759,0,0,0,0,0.172413793103448,0.0689655172413793,0,0.172413793103448,0,0.0344827586206897,0
s13.Mural_Cells2,0,0.163636363636364,0,0.0181818181818182,0,0.0181818181818182,0,0.145454545454545,0.0545454545454545,0,0,0.0363636363636364,0.0181818181818182,0.181818181818182,0.0909090909090909,0.109090909090909,0.290909090909091,0,0,0
s14.PVMs,0,0,0,0,0,0.153846153846154,0,0.0384615384615385,0,0,0,0,0,0.0384615384615385,0,0,0.423076923076923,0,0.0384615384615385,0
s15.Microglia,0,0.0263157894736842,0.00657894736842105,0,0,0.0657894736842105,0.00657894736842105,0.121710526315789,0.0756578947368421,0,0,0.0361842105263158,0.00986842105263158,0.0592105263157895,0.0427631578947368,0.00328947368421053,0.542763157894737,0,0.0296052631578947,0
s16.Fibroblasts1,0,0.142857142857143,0,0,0,0.0714285714285714,0,0.0714285714285714,0,0,0,0,0,0.0714285714285714,0.142857142857143,0,0.428571428571429,0,0,0
s17.Fibroblasts2,0,0.0789473684210526,0,0.157894736842105,0.0263157894736842,0.0789473684210526,0.0526315789473684,0.0789473684210526,0.0526315789473684,0,0,0.0263157894736842,0.0526315789473684,0.105263157894737,0.0789473684210526,0,0,0,0.0526315789473684,0
s18.Fibroblasts3,0,0.0583333333333333,0.00833333333333333,0.00833333333333333,0,0.133333333333333,0.00833333333333333,0.075,0.075,0.00833333333333333,0,0.00833333333333333,0.00833333333333333,0.0916666666666667,0.0666666666666667,0.00833333333333333,0.0416666666666667,0,0.025,0.00833333333333333
s19.Parstuber2A,0,0.291304347826087,0.178260869565217,0.00434782608695652,0,0.204347826086957,0.404347826086957,0.104347826086957,0.143478260869565,0,0,0.0826086956521739,0.0130434782608696,0.173913043478261,0.1,0.0565217391304348,0.447826086956522,0,0.0173913043478261,0.0695652173913044
s20.Parstuber2B,0.125,0.125,0.25,0,0,0.375,1,0.375,0,0,0,0,0,0.25,0,0,0.625,0,0,0
s27.Oligodendro6,0.00540540540540541,0.0594594594594595,0.0162162162162162,0,0,0.264864864864865,0,0.0756756756756757,0.0810810810810811,0,0,0,0.0216216216216216,0.118918918918919,0.0594594594594595,0.383783783783784,0.0324324324324324,0,0.0918918918918919,0.027027027027027
s28.NG2_OPC1,0,0.260869565217391,0,0,0,0.434782608695652,0.0434782608695652,0.0434782608695652,0.0869565217391304,0,0,0,0,0.304347826086957,0,0.217391304347826,0,0,0.0869565217391304,0.0434782608695652
s29.NG2_OPC2,0.0033112582781457,0.107615894039735,0.0347682119205298,0,0,0.52317880794702,0.0182119205298013,0.0927152317880795,0.119205298013245,0,0,0,0.0745033112582782,0.130794701986755,0.0380794701986755,0.278145695364238,0.0513245033112583,0,0.0480132450331126,0.0198675496688742
s30.b2_tanycytes1,0.00168918918918919,0.152027027027027,0.0118243243243243,0.00506756756756757,0,0.913851351351351,0.00844594594594595,0.0878378378378378,0.101351351351351,0,0,0.0489864864864865,0.0236486486486487,0.234797297297297,0.0861486486486487,0.0929054054054054,0.101351351351351,0,0.0540540540540541,0.0557432432432433
s31.b2_tanycytes2,0,0.135135135135135,0.0135135135135135,0.00337837837837838,0,0.907094594594595,0.00337837837837838,0.109797297297297,0.173986486486487,0,0,0.0641891891891892,0.0591216216216216,0.219594594594595,0.108108108108108,0.0844594594594595,0.197635135135135,0,0.0625,0.0608108108108108
s32.Astrocytes,0.0202020202020202,0.131313131313131,0.0202020202020202,0,0,0.98989898989899,0,0.0909090909090909,0.0606060606060606,0,0,0,0.0303030303030303,0.141414141414141,0.0707070707070707,0.161616161616162,0.101010101010101,0,0.0505050505050505,0
s33.a1_tanycytes2,0,0.25,0.0294117647058824,0,0,0.926470588235294,0,0.0588235294117647,0.132352941176471,0,0,0.0441176470588235,0.0441176470588235,0.132352941176471,0.0294117647058824,0.0441176470588235,0,0,0.0735294117647059,0.0735294117647059
s34.a1_tanycytes1,0.00598802395209581,0.167664670658683,0.0269461077844311,0,0,0.994011976047904,0.0179640718562874,0.119760479041916,0.101796407185629,0.0029940119760479,0,0.0179640718562874,0.032934131736527,0.197604790419162,0.0838323353293413,0.0868263473053892,0.0419161676646707,0,0.0479041916167665,0.032934131736527
s35.b1_tanycytes,0.00310398344542162,0.225038799793068,0.0129332643559234,0.00258665287118469,0,0.988618727366787,0.0155199172271081,0.115364718054837,0.0972581479565442,0.00155199172271081,0,0.0201758923952406,0.0160372478013451,0.195550957061562,0.0615623383341956,0.0775995861355406,0.0393171236420072,0.000517330574236937,0.0641489912053802,0.0387997930677703
s36.a2_tanycytes,0.00513259195893927,0.192472198460222,0.0136869118905047,0.00171086398631309,0,0.968349016253208,0.0222412318220701,0.123182207014542,0.100940975192472,0.00171086398631309,0,0.018819503849444,0.018819503849444,0.1633875106929,0.0650128314798974,0.0556030795551754,0.0419161676646707,0,0.0556030795551754,0.0419161676646707
