Annotation,Coefficient p-value,Coefficient,Coefficient std error,FDR < 0.05,"AD (Jansen, 2019)","ADHD (Demontis, 2017)","AN (Duncan, 2017)","ASD (Grove, 2018)","BIP (PGC, 2018)","CAD (Schunkert, 2011)","CVD (Loh, 2018)","CELIAC (Dubois, 2010)","CROHNS (Jostins, 2012)","DEP (Nagel, 2018)","BP_DIA (Loh, 2018)","EA3 (Lee, 2018)","FG_F (Lagou, 2018)","FI_F (Lagou, 2018)","HBA1C (Wheeler, 2017)","HEIGHT (Loh, 2018)","IBD (Jostins, 2012)","INS (Jansen, 2018)","INT (Savage, 2018)","HDL (Teslovich, 2010)","LDL (Teslovich, 2010)","TG (Teslovich, 2010)","SLE (Bentham, 2015)","MDD (Howard, 2019)","MS (Patsopoulos, 2011)","NEU (Nagel, 2018)","PBC (Cordell, 2015)","RA (Okada, 2014)","RT (Linner, 2019)","SCZ (Pardinas, 2018)","SWB (Okbay, 2016)","BP_SYS (Loh, 2018)","T1D (Bradfield, 2011)","T2D (Loh, 2018)","UC (Jostins, 2012)","WHR (Pulit, 2019)","WHRadjBMI (Loh, 2018)","WORRY (Nagel, 2018)"
n24.Sst-Pthlh,0.005176221582739871,1.417175791204636e-8,5.527574579130309e-9,FALSE,0.12718825102960096,0.107201189201785,0.23267618304567456,0.0068747257909429855,2.3160932868939482e-4,0.050061042382975984,0.0594639878455825,0.7485341475021701,0.5294321422664532,0.001234258031576741,0.2020210561760818,7.893380049299523e-7,0.383617375848656,0.8722206782493629,0.6581655063517218,0.9993204945006724,0.1585207709210933,4.017899337181607e-5,8.287029019649697e-6,0.6289223573209782,0.8797702326562492,0.5440237972085035,0.8315634291205132,3.690043807470943e-4,0.5155981546037491,8.943489954027969e-6,0.6125307931648409,0.641110096389804,3.948824451754096e-4,2.2956896233903947e-4,0.06369421036150241,0.2264988277653175,0.5960575192977122,0.1901827876476741,0.19852531683899416,0.1923158429051709,0.8275691804620988,3.742426765119608e-6
n10.Ghrh,0.01373162480054524,9.56683843746968e-9,4.338958930623246e-9,FALSE,0.8834440080535506,0.0017991528211558456,0.13323379924739365,0.3701356624072532,0.0352494563301743,0.21029000801709974,0.3599093681748795,0.931594046590652,0.9129508822539104,0.38104434391680253,0.5927504279934874,0.0028940633523749665,0.02004798579312077,0.2124982405736129,0.23155403565154925,0.45351597437309293,0.8732534692137947,0.2028124486857004,0.14835947554502327,0.3851502243798333,0.4600792127306052,0.2605650460654956,0.8063836765235535,0.10178098845349892,0.5904881234446646,0.4258451581277797,0.4336072671666254,0.8127046560983271,0.04434480845612947,0.13714838442677796,0.23589443888592396,0.6580321972928571,0.8778826720028123,0.055556073642743516,0.9037236790134726,0.7007063145698722,0.9432059326492108,0.0906410340430338
n21.Pomc-Glipr1,0.01476151704600293,1.669551247052869e-8,7.671050014326618e-9,FALSE,0.5998853157631183,0.06218793380997329,0.02999014273046525,0.3851309879466291,9.867016643344503e-4,0.051366724627289716,0.45475298587362,0.8366490928980601,0.8555792993485383,0.010582934787626322,0.6430404368011788,0.020276651852423184,0.5420805709263139,0.5502549616745855,0.5061110497005832,0.8037685527369265,0.20764433565626844,0.1337724765202462,7.067104132264863e-4,0.8893997785048454,0.6806188347729754,0.24852065949358024,0.9049603110759734,0.0075081981559108404,0.4921268226659531,0.017695514109347363,0.7730068364373677,0.8998961220165766,0.03188391473012602,0.0028240767606386424,0.037787161383738666,0.5507129832977,0.6038116582439518,0.30821525039703546,0.07890821322028657,0.4736168150593673,0.9303388420518429,0.07213337106373009
n33.unassigned(1),0.014927947784076556,1.5307975216681476e-8,7.0478807345038355e-9,FALSE,0.5649643126865991,0.3867076872456606,0.9247969251732344,0.2558364674870945,0.00758973982075388,0.6489579816540483,0.847163594188973,0.7060702351890821,0.93590949365979,0.0054865254140176786,0.9693402823806672,0.0014595552836504286,0.2847609732146274,0.5014515964168778,0.4638804196529178,0.9999427285878436,0.8610658315819555,3.640756015424558e-4,0.0014592871686232762,0.6552993977125611,0.31148727377124424,0.8031398672000849,0.9634012439092806,0.0465698349646374,0.12557571762417702,3.0174517643883616e-4,0.6927786099659737,0.8511615332253168,0.009067514901085844,0.013659541623827574,0.19541471157612555,0.9864800585945924,0.4935196285978754,0.7455839105704498,0.7955279684194199,0.2563739738981867,0.9853451936366456,8.900453934062578e-6
n17.Rgs16-Dlx1,0.01953282275899694,1.4900887417302138e-8,7.22118986424514e-9,FALSE,0.8309102435235051,0.30023435074976845,0.07660806624816606,0.0610626014791999,0.0031486719610461056,0.3000325857141829,0.3407812557474017,0.9601572688343584,0.04126857724655364,0.5457375160931752,0.7733535051344256,7.250086201821457e-6,0.4720658701314687,0.3215182704049092,0.7289610831819558,0.9496087683071356,0.007382169343419337,0.05953265789158225,0.017881689441197158,0.9537565691927952,0.3268476085232275,0.7738145134209251,0.5388963706162072,0.03186928750951131,0.4283903807090443,0.2034896985585038,0.7968504790032187,0.9873565464715988,0.3175423021868584,0.02082912396510632,0.0032483364932089087,0.30775977073377553,0.4948832625722521,0.032700960060335925,0.3459965918250032,0.4211972830975273,0.7062586134464862,0.1314581995119079
n22.Tmem215,0.030494286603992032,1.9303110410545964e-8,1.0302804294096958e-8,FALSE,0.2368497248104205,0.05952198826615165,0.026729720747985627,0.3848337223429658,8.468690250892395e-4,0.0010769781077348843,0.2288403182951781,0.3979878381923635,0.9425443681720292,0.001438767234134243,0.5942126574348878,0.009126303400813777,0.2898012211051361,0.44969198874403454,0.24068895510708702,0.4171933874558922,0.707116110684505,0.04019884703792785,3.5100461127862264e-4,0.18536725392641054,0.13125134649048015,0.04267089249458747,0.9112216389577809,0.010672704850072606,0.24238130283955034,0.025456692492384005,0.5978127159647058,0.5130203116536999,0.0951797453728368,0.005577782345924212,0.7837451059308871,0.3098464504154951,0.5642057036118564,0.02682034332366183,0.16613749069105085,0.4731812606418284,0.8834580722650774,0.20067672889733168
n25.Th-Lef1,0.032684150304304285,1.1938698141330306e-8,6.478806927056072e-9,FALSE,0.9505923575442224,0.7424310608578946,0.6231607470010079,0.05348437369645639,0.005337013274322551,0.4930639369025132,0.8175146488677947,0.16060020218615834,0.5811733118643843,0.03338909931344819,0.9696781634483662,0.13936075096511644,0.16671808799173654,0.3779883529433061,0.1838713239728661,0.8935039665919675,0.12010125347734628,0.0039811477900334865,0.02668145398095149,0.1146982195875853,0.9203232696372196,0.7021909126851433,0.033352443180723834,0.03343644645103471,0.324386620869674,9.345002215471446e-4,0.35879975058309616,0.3644881927995586,0.2257951932256864,0.08924083338552448,0.0681724581886541,0.9803673626587568,0.29771274548226434,0.231618533058654,0.3957975000305888,0.0409105238074987,0.757488069810538,0.0032881357873245413
n06.Oxt,0.03636546407448743,1.1684665929802389e-8,6.5113207334272404e-9,FALSE,0.6722286305560058,0.4406111861235129,0.05339401466247614,0.7776251044936633,0.06657674266907605,0.5941881262078076,0.7101048986610464,0.1419276615630773,0.1221012135642986,0.5211848857222093,0.5443822863968574,0.1674007086777734,0.08445565796388521,0.5362597841454714,0.21966598832951054,0.7986125307918068,0.3803499296189854,0.010965635193867326,0.1148170725992837,0.9166147987982404,0.994427742303564,0.4468347846883637,0.17792785314689494,0.180447570703951,0.15278832515741314,0.0191154278028704,0.2582477889192876,0.7172046342404045,0.027320291990714105,0.4345486635205281,0.4187996593006509,0.8570478664731601,0.7801138066334995,0.8585287271622334,0.6947198952634194,0.17033715845604375,0.6996689507011421,0.013471934941454579
n19.Gpr50,0.03692567145427121,2.2892896265671052e-8,1.2806976460423703e-8,FALSE,0.4759809741587199,0.5108562332499295,0.05451413428381522,0.44127658034985423,9.016057990377113e-4,0.22727465770744104,0.8203213201212171,0.9771843099922468,0.5053985103547811,0.17228787258267825,0.3815831494006333,0.0370096450434021,0.02698438026091605,0.05887941353632141,0.7129137142128922,0.8728801877948118,0.3512068363779694,0.30242431622351523,0.0018202364501867516,0.053258279795523236,0.10413806995785384,0.07975630746072704,0.637286628591539,0.02742057744227067,0.4629491174156787,0.03959692777467888,0.631356682462181,0.8515703552640945,0.3526393654914767,0.10827776183783427,0.2060862896496513,0.6296534039383346,0.26437388245417914,0.12761028279050424,0.4112556851213993,0.2025177182400097,0.8718592727339979,0.001138463849982411
n20.Kiss1-Tac2,0.043227949194187175,7.338452762614402e-9,4.2804870427861346e-9,FALSE,0.8027574497769445,0.14650264893065368,0.1320477748553336,0.10870051067092083,6.518927473222714e-4,0.041281683685692065,0.1258586097848164,0.769416214126453,0.2903149847651657,0.011381689299434295,0.03336712706233931,3.1408913845337814e-4,0.2401766009165016,0.7848941113743524,0.29098738138509633,0.3910498959453313,0.05428483106772793,0.08449660269670772,5.2056796030977806e-5,0.3157368435592804,0.9393249898380164,0.4182824788793523,0.6911518862395217,0.007892229126256608,0.08588994861598531,0.004923561647897828,0.2402230441617848,0.728535830422446,0.03868028397624222,0.0015827115958930776,0.019283540581347083,0.03377152708613436,0.05154995309258136,0.11135565474602004,0.2468941091410295,0.23499180905306785,0.7629743735763657,0.014780814626372204
