annotation,p.value,estimate,std.error,FDR < 0.05
CBNBL1,0.2499741248938882,0.09760083077216532,0.1446819870683047,FALSE
NFOL2,0.2917247252008064,0.05394590420739158,0.09837575412751103,FALSE
HYPEP6,0.311447642615878,0.06822948092344219,0.13874491661752228,FALSE
HYPEP4,0.35083401630543465,0.05893340678305267,0.15384195307097914,FALSE
ENT5,0.37461112463231805,0.03252216382425422,0.1017362506337773,FALSE
PSNP6,0.4046672891725198,0.022711969564273606,0.09412761922580322,FALSE
OBDOP2,0.44105543123401764,0.019323424589425212,0.13030258111858525,FALSE
HYPEP8,0.4443119858891462,0.021251744672698275,0.15174600422283588,FALSE
PSNP5,0.4620069840123565,0.009680710618105217,0.10149570093819026,FALSE
MFOL1,0.46879125102776864,0.00656336049728203,0.08381244057488006,FALSE
CR,0.4815585417087123,0.006501021293623746,0.14058334599333613,FALSE
PSPEP4,0.4932794106794194,0.0017706075181885348,0.1050985496962323,FALSE
PSPEP2,0.5005440647866221,-1.3952541616099316e-4,0.10230689296953564,FALSE
ENT1,0.510021489844976,-0.003534510818935991,0.14068689954889696,FALSE
OBNBL4,0.5387386926085314,-0.01529328276091122,0.15724389193787866,FALSE
HBINH1,0.5521262267260456,-0.020670081909031305,0.15774176620337202,FALSE
PSPEP6,0.5544949711339586,-0.017308588411079552,0.12631357716089514,FALSE
COP2,0.5670099649153463,-0.017142870182215796,0.10157540090068656,FALSE
MOL1,0.5875832645590751,-0.021474477917305942,0.09702175172707975,FALSE
ENT6,0.6009827208546074,-0.02741194090943229,0.10712122832126171,FALSE
PSNP2,0.6767822150094261,-0.04867384029605444,0.10610576607804945,FALSE
PSPEP5,0.6972698894437711,-0.06647386954885927,0.12868164835980495,FALSE
PSNP3,0.7170818818445257,-0.05310409941224669,0.09248233221713036,FALSE
MSN6,0.717324222294397,-0.07776725720749258,0.1352651544519393,FALSE
ENT4,0.782151345949962,-0.074709570340619,0.09584271118341947,FALSE
CBPC,0.7999336358930067,-0.11255670262019024,0.13377155562095602,FALSE
OBNBL3,0.80269163716876335,-0.09614330372254537,0.11293691309470294,FALSE
SZNBL,0.818726190915133,-0.08573894081332298,0.0941615951953101,FALSE
ENT2,0.8271342935794325,-0.09589682817931051,0.10170057294550103,FALSE
MOL2,0.8502252753339911,-0.09540696418441838,0.09196397367694988,FALSE
SYNOR1,0.8839226788101859,-0.13251245484354118,0.11090034155189411,FALSE
ACNT2,0.8944827222534399,-0.11907824266285261,0.09520296394628062,FALSE
SYCHO2,0.8950981745742981,-0.14318811849569837,0.11417025608781314,FALSE
ENT7,0.8951156759564272,-0.15545317749429138,0.1239402136534543,FALSE
ENT3,0.9003386459751613,-0.12606080371176412,0.09821306220420398,FALSE
ACNT1,0.9036341113256312,-0.12947801786052388,0.099399457810799,FALSE
PSNP4,0.908603380137663,-0.15120259291482396,0.11349248183691626,FALSE
DETPH,0.9215875895556623,-0.21570056722679065,0.15234086713122724,FALSE
MOL3,0.9266512217256978,-0.12911605304850837,0.08896113122240551,FALSE
ACTE2,0.9303284012701476,-0.14273851198230958,0.09655419772085119,FALSE
RGSZ,0.9384756848903488,-0.17449322158781505,0.11314597049388106,FALSE
COP1,0.9391646049123685,-0.14626957158401857,0.09449595928224931,FALSE
SYNOR4,0.9451429750280329,-0.1638675957188582,0.10244406071389627,FALSE
SYNOR3,0.9467243743305438,-0.15344377949145652,0.09507085396251572,FALSE
SYNOR5,0.9544111227427863,-0.2082980799374522,0.12330192277113618,FALSE
SYNOR2,0.9659768563106271,-0.20689281710422225,0.11337580148523496,FALSE
SYCHO1,0.9670562449731948,-0.2459717351277938,0.13372884459226686,FALSE
ACOB,0.984915357033417,-0.20403136836884153,0.0941068911437874,FALSE
EPSC,0.9851798825364249,-0.19229688722392618,0.08840881606689646,FALSE
SCHW,0.9857384223395176,-0.27511109674007705,0.12560766644353222,FALSE
ACTE1,0.9860181920597594,-0.2158401195428467,0.09819730204303719,FALSE
ACBG,0.9891758969667671,-0.24747446778037585,0.10775026096814286,FALSE
OPC,0.9892280648757135,-0.2149468539643578,0.09351319547852303,FALSE
VSMCA,0.993353114405828,-0.25024498606458917,0.10106352988938429,FALSE
ENTG1,0.9939201939137162,-0.2154261786931785,0.08590232001385081,FALSE
HYPEN,0.9952659655465578,-0.26746484808158816,0.10306804448798898,FALSE
ACMB,0.9960360915959667,-0.24398112864285496,0.09187732137830415,FALSE
EPMB,0.9977806463089707,-0.3307998885730712,0.11624813139487325,FALSE
MGL2,0.9979167327143624,-0.2769374129527382,0.09663728252636841,FALSE
SATG1,0.9985556627002478,-0.3511670603150525,0.11784653382120355,FALSE
OEC,0.9989255072779687,-0.2977006196928934,0.09698982290659906,FALSE
MGL1,0.9994429222016314,-0.3232241807065237,0.09912822376501085,FALSE
MGL3,0.999546131883367,-0.31497986828677876,0.09491993035626037,FALSE
SATG2,0.9996509227723331,-0.305638701653213,0.090130770364038,FALSE
ENTG4,0.9997256144515968,-0.2838344360038236,0.08211508897982885,FALSE
RGDG,0.9997262424424679,-0.41685606152852145,0.12057752357754961,FALSE
ABC,0.9997918058091863,-0.3407508201526503,0.0965212273742129,FALSE
EPEN,0.9998266190602709,-0.27042819094981896,0.07557064897267911,FALSE
ENTG5,0.9998422193076824,-0.3065446759395999,0.08507859122732032,FALSE
ENTG6,0.9998858186912898,-0.3197326228608673,0.08673449691038403,FALSE
PER3,0.9999014765932506,-0.4171240260988712,0.11201691006887234,FALSE
ENTG2,0.999964240074244,-0.33253043190226916,0.08371104961957188,FALSE
ENTG7,0.9999708366466667,-0.33807548950557,0.08408352793293503,FALSE
CHOR,0.9999810634930213,-0.35168169428717133,0.08533048341104724,FALSE
PER1,0.9999873946662224,-0.3404155800074744,0.08077603112217233,FALSE
VLMC1,0.9999874541715057,-0.43237321181296545,0.10257031330974746,FALSE
PVM1,0.9999886248744452,-0.40995853764349705,0.09674617200323732,FALSE
PVM2,0.999989805526929,-0.4258256277352098,0.09991113178995059,FALSE
VECV,0.9999908710249346,-0.361188616888841,0.08425846843682594,FALSE
VECA,0.9999963737392252,-0.42130876311845583,0.09387805453177381,FALSE
ENTG3,0.9999966106493494,-0.3767875665503908,0.08368914255401205,FALSE
PER2,0.9999971547731229,-0.37949691479029096,0.0836020878173376,FALSE
VLMC2,0.9999982356599998,-0.43171091734187333,0.09305652702517278,FALSE
ENMFB,0.9999996300814916,-0.5271550315213175,0.10643455198261742,FALSE
VECC,0.9999999866937069,-0.4910680900969611,0.08823359152266634,FALSE
