annotation,AD_Jansen2019,AD_Lambert2013,ADHD_PGC_Demontis2017,AN_PGC_Duncan2017,ASD_iPSYCH_PGC_Grove2018,BIP_PGC2018,blood_EOSINOPHIL_COUNT,BMI_female_Pulit2019,BMI_Locke2015,BMI_male_Pulit2019,BMI_Pulit2019,BMI_UKBB_Loh2018,BMI_UPDATE_Yengo2018,CAD_Schunkert2011,CARDIOVASCULAR_UKBB_Loh2018,CELIAC_Dubois2010,CROHNS_Jostins2012,DEPRESSED_AFFECT_Nagel2018,DEPRESSION_Nagel2018,DIASTOLICadjMED_UKBB_Loh2018,DS_Okbay2016,EA2_Okbay2016,EA3_Lee2018,FG_Female_Lagou2018,FG_Male_Lagou2018,FI_Female_Lagou2018,FI_Male_Lagou2018,HBA1C_MAGIC_Wheeler2017,HEIGHT_UKBB_Loh2018,HEIGHT_Wood2014,HEIGHT_Yengo2018,IBD_Jostins2012,INSOMNIA_Jansen2018,INTELLIGENCE_Savage2018,INTELLIGENCE_Sniekers2017,LIPIDS_HDL_Teslovich2010,LIPIDS_HDL_Willer2013,LIPIDS_LDL_Teslovich2010,LIPIDS_LDL_Willer2013,LIPIDS_TC_Willer2013,LIPIDS_TG_Teslovich2010,LIPIDS_TG_Willer2013,LUPUS_2015,MDD_Howard2019,MDD_PGC_Wray2018,MS_Patsopoulos2011,NEUROTICISM_Nagel2018,NEUROTICISM_OKBAY2016,PBC_Cordell2015,RA_Okada2014,RB_Linner_2019,SCZ_EUR_Ripke2014,SCZ_Pardinas2018,SWB_Okbay2016,SYSTOLICadjMED_UKBB_Loh2018,T1D_Bradfield2011,T2D_DIAMANTE_Mahajan2018,T2D_UKBB_DIAMANTE_Mahajan2018,T2D_UKBB_Loh2018,T2D_Xue2018,T2DadjBMI_DIAMANTE_Mahajan2018,UC_Jostins2012,WHR_adjBMI_Shungin2015,WHR_Pulit2019,WHR_Shungin2015,WHRadjBMI_Pulit2019,WHRadjBMI_UKBB_Loh2018,WORRY_Nagel2018
oxidative_top10,0.259283762681,0.517373628397,0.880775366936,0.768134711401,0.720948964138,0.0561137328437,0.0587129682383,0.339339681161,0.483997217309,0.510852534875,0.515924896694,0.692129111546,0.545833674759,0.0267879775234,0.00272679304775,0.998752202918,0.743614947356,0.389144633704,0.205256084267,0.0297448069529,0.517670687538,0.536422074246,0.441601608952,0.132495442058,0.0489819204398,0.214083621518,0.715464311373,0.294831651156,0.896433022571,0.892148797431,0.948878716742,0.473327023744,0.571151106692,0.239194057226,0.588737608164,0.00258226876866,0.00843008683544,3.26435665227e-4,0.00115536068034,3.10788279633e-4,0.0101375940654,0.0165156428096,0.168628067105,0.720604521308,0.539423964734,0.957316508734,0.671009359619,0.568918731304,0.3568805904,0.954744410493,0.994203683518,0.11182991145,0.145304749702,0.932346387593,0.0293732356802,0.201589636068,0.02234744099,0.121388699642,0.188626858912,0.0839001081852,0.00980771766154,0.296783059714,0.00972043521004,0.00202882825996,0.0714287920722,0.00032091794463400003,3.10106796697e-4,0.706699349913
oxidative_top100,0.129026696653,0.246691572969,0.813714462685,0.116083611593,0.446261378934,0.769055957633,0.0549905253431,0.652856687201,0.754865319769,0.517684479841,0.539402448889,0.468058842568,0.518211817333,0.871446075401,0.127608359991,0.221226746565,0.0400163019768,0.619775049162,0.533833428287,0.394228935452,0.992560663609,0.205275839764,0.384024268369,0.433943914361,0.766026524286,0.770128409204,0.495278985204,0.340123686433,0.781298111386,0.874838805598,0.845130229899,0.0618218803998,0.661758158508,0.154696723823,0.297951988578,0.105565833161,0.116352205124,0.143854444545,0.151333256031,0.20005785463,0.336716828346,0.329933409486,0.720979046229,0.601311712235,0.847281691271,0.371205555314,0.959868476868,0.757522429945,0.675083272016,0.972753913709,0.952753101511,0.867296892788,0.769010101488,0.878807216057,0.221084737425,0.453877242536,0.587960830563,0.887075080628,0.920631643494,0.922485552114,0.414840767341,0.32538106641,0.013111016316,0.0202197481903,0.0312321926992,0.00743855043201,0.0055162023307,0.987130203748
oxidative_top20,0.271440071573,0.646937854291,0.870099267429,0.490539405594,0.945233006521,0.0851134016913,0.21547284946,0.529641544709,0.781743441826,0.46285676426,0.543935009922,0.640945093817,0.658889525367,0.057878418052,9.21800110414e-4,0.959021724176,0.856247803421,0.53405013025,0.333427900139,0.0358932068169,0.78929846351,0.509150849668,0.501997761424,0.0313436616179,0.0522985087633,0.187921587321,0.468751251293,0.29016775333,0.941103303748,0.941472357099,0.970553790521,0.665064518296,0.452000213985,0.488230865063,0.906406706052,0.0028721538769,0.0108131299902,0.00265565828387,0.00302518761597,0.00124986483246,0.0157536526585,0.0250959323242,0.26968226234,0.746609249431,0.617025113512,0.952112498962,0.8618849788,0.842575172213,0.396772199932,0.922791955431,0.999845422444,0.212874516633,0.328095905728,0.953917441374,0.0354892742844,0.479466047056,0.0484396087244,0.120658130867,0.219940427901,0.077506535116,0.0200176333563,0.521114333483,0.0221683869316,0.0043944840476,0.152119956345,5.2339259997e-4,2.92706683644e-4,0.858421207725
oxidative_top30,0.156187034745,0.731919634288,0.799100434778,0.569529294902,0.917353014674,0.318223378879,0.179164348909,0.563742704849,0.951964309539,0.700645086357,0.702959906614,0.716875778415,0.73945887781,0.0615217349555,0.00205273240058,0.36837966092,0.936946644496,0.497206190439,0.430173971245,0.0176442931392,0.64018305256,0.45884205013,0.420835945396,0.053375690792200003,0.0578190555131,0.224337227667,0.242478866886,0.548072592607,0.916755830745,0.959170605464,0.912061704186,0.832851039977,0.89772127873,0.307084884311,0.798655785765,0.00163388271693,0.00717108910302,0.00652942460122,0.00488856298989,0.00117940143293,0.00445719199969,0.0117917456165,0.271414286493,0.984499766593,0.767515931415,0.98790064209,0.775314652618,0.880943725573,0.38711755069,0.954427767788,0.991040777796,0.440064142248,0.535657716609,0.945942999101,0.0142956317832,0.751594363811,0.0581220062462,0.193322959444,0.228238770612,0.0924803029208,0.0169576971456,0.530812105392,0.00432068451054,0.00127956398684,0.0366897248741,1.37158736933e-4,7.46613052275e-5,0.862834074052
oxidative_top40,0.08519674545,0.655570302583,0.970205934494,0.860962446299,0.941089457551,0.616764065357,0.0132599201582,0.429675230594,0.998958023828,0.632941203338,0.465004196287,0.463471262672,0.493009457866,0.249434454663,0.0287071801124,0.158644992329,0.364794824064,0.36540563396,0.25777115291,0.0909574591705,0.736989996537,0.662043438635,0.710160711655,0.0614969176819,0.118074422406,0.147046934884,0.271782578886,0.874568355374,0.775505244941,0.930989606467,0.804753742129,0.495089242602,0.977179065461,0.892659559495,0.887218018999,0.0586775240639,0.0423154457226,0.106513704133,0.13072741266,0.091469001332,0.0426377564992,0.0413912877279,0.100138734987,0.934034199846,0.715609275971,0.765096957938,0.634128428502,0.725545039069,0.196291630322,0.884836818501,0.972558164971,0.703675565585,0.918711676053,0.914470107028,0.0359435363334,0.757571979171,0.163942839289,0.479309390789,0.610033233146,0.123952886545,0.0750841382199,0.416260696952,0.0122085362312,0.00120217073219,0.0726029589184,8.66018797156e-4,0.00186557949654,0.934188878121
oxidative_top50,0.332110053225,0.389211436551,0.940404012461,0.453088663841,0.962680765573,0.822287976898,0.012367384146,0.506066649637,0.940144045756,0.608818927264,0.51498892156,0.454928874708,0.506528453893,0.560994258746,0.15808631866,0.27935806368,0.243465179882,0.900381780125,0.361923916756,0.196801289269,0.983811319829,0.514897977768,0.405779239138,0.0653439551323,0.110739290159,0.208890271737,0.619448931497,0.590570604344,0.716689551064,0.902296975929,0.820080550085,0.210665111065,0.979054341879,0.768328273904,0.858573954528,0.135993759728,0.153679823275,0.190010325934,0.287487508113,0.190432478091,0.0202278381554,0.0571177798334,0.12619207102,0.914340133296,0.735992652919,0.493181656794,0.872970652095,0.777830388787,0.219218414883,0.716488413421,0.917723156657,0.714093075632,0.674878491854,0.989124838849,0.0340172859153,0.601062244476,0.0703887750181,0.358688690777,0.36039871012,0.197004517364,0.0316776131177,0.0892774911115,0.0108541352477,0.00320012097075,0.0264478498738,0.00163919568541,0.00300018238248,0.715512887796
oxidative_top60,0.231064178272,0.778792617879,0.920045417123,0.584876959959,0.997850606532,0.785937546898,0.0183243080975,0.497870628467,0.932988130675,0.79699066783,0.564875943162,0.653381561055,0.539077563712,0.689371936625,0.255126576833,0.251912521971,0.411276223011,0.47777106042,0.495917325909,0.317021772694,0.696800233324,0.456460565143,0.207459554367,0.107259934055,0.328308440103,0.358404874509,0.749484387367,0.854878465356,0.754425768572,0.725709827309,0.76105173993,0.54287854035,0.835435963847,0.384067026511,0.3469653617,0.0366381123042,0.0634675268226,0.327530936044,0.296928918821,0.149554358523,0.0189814988111,0.0392675879249,0.558941294927,0.912927116045,0.443640599189,0.778934789177,0.73655633349,0.62058628297,0.427155283398,0.969602039827,0.90981648756,0.812994486081,0.785137877835,0.994185477185,0.141259735156,0.54015952566,0.292659908766,0.556875491601,0.692524404138,0.39557440205,0.303363944825,0.404694913156,0.0219947150153,0.0150049844117,0.121407080219,0.00398217918902,0.00377142581287,0.896915448852
oxidative_top70,0.216758311652,0.284272478374,0.772121262417,0.520125362212,0.988297892625,0.921649971514,0.0658282322167,0.411181080625,0.852762732717,0.515264863641,0.405078452534,0.417496060925,0.42578178447,0.379664926372,0.280546883014,0.109801124281,0.13870377854,0.52969596008,0.388239504494,0.444197965887,0.954810971205,0.398040842319,0.134771595708,0.74149910907,0.815856133527,0.686278944553,0.536076486879,0.280113963757,0.627288020844,0.823664414643,0.725815466888,0.277216365679,0.49473322613,0.458208298592,0.66642676355,0.436387587905,0.334457578285,0.484837904354,0.673979828062,0.570265379379,0.186272254266,0.249130495271,0.576041406553,0.480993811174,0.901106710903,0.663390121646,0.572550876857,0.47874778044,0.314971452769,0.936620298225,0.974787687417,0.961594557101,0.911228150625,0.968986357363,0.464398866676,0.523746830713,0.690844461762,0.87104855216,0.862618676895,0.719700274848,0.646270199437,0.611577953068,0.0571564596863,0.0179220374238,0.129332107458,0.00572201096464,0.00684700404006,0.72171428057
oxidative_top80,0.125521784276,0.550530108702,0.757765978447,0.0797140381145,0.915569603467,0.78192426053,0.0839012008008,0.455471419295,0.92781438784,0.457400491003,0.387894639932,0.415922773547,0.453750053291,0.599036845058,0.3932010722,0.220554093137,0.138317508735,0.505188575546,0.526655458219,0.340654043558,0.865239557067,0.190013422405,0.148267964322,0.0666294333355,0.367786128385,0.0853732208934,0.556552658694,0.318618672757,0.372380473449,0.51106770071,0.45997035025,0.215864320722,0.5400158457,0.188738270084,0.568941691006,0.243553107094,0.439838239488,0.867253126519,0.877719573348,0.793369087382,0.0322797733382,0.0530572655565,0.274559272075,0.61994039492,0.623176250938,0.569244412023,0.821845431202,0.262867346619,0.28038321758,0.836009752049,0.876874630688,0.939892601301,0.850835170604,0.991524379949,0.27770328756,0.18855668633,0.774436658623,0.928492681284,0.925221153299,0.806097142359,0.742506004179,0.172009477164,0.0357709669708,0.0136466906029,0.0780516722906,0.00902255914325,0.00931564722606,0.72879044088
oxidative_top90,0.210291956968,0.241421567934,0.904362584403,0.256283752838,0.931680627543,0.979562294971,0.115781836859,0.460754140991,0.757424266296,0.248803248489,0.307427996852,0.269835406698,0.30700546949,0.7075902071,0.147454345304,0.206779777607,0.537506871662,0.509153614593,0.784491663692,0.148942441368,0.989419523332,0.358208802094,0.425504658592,0.259050584539,0.408747180104,0.586602978087,0.960225326589,0.980426530348,0.243899018583,0.308030205742,0.285761638097,0.762354322221,0.508846510393,0.316352851787,0.823990758199,0.046783137646,0.0504943463657,0.231226907049,0.16940539927,0.143984248621,0.139797016224,0.157184020734,0.803305973147,0.590236524492,0.190430629465,0.637799593901,0.695212551222,0.776658287145,0.28147200316,0.956558581854,0.89149799446,0.90106474436,0.752663420213,0.690089484631,0.10018777194,0.367974304048,0.764286875752,0.782432826766,0.719090255935,0.901628554609,0.585941566281,0.88430951189,0.102571120895,0.0885488311135,0.149356574834,0.0916093817866,0.110103499515,0.850378936714
preadipocyte_top10,0.245612416881,0.314668096072,0.519026466878,0.319338755818,0.869249709413,0.370281947608,0.0677249552345,0.610536749679,0.668436334527,0.788593152723,0.714147596964,0.553682268797,0.595547367588,0.657244931486,0.562152644404,0.720332874212,0.590504253969,0.803035686094,0.900190826236,0.300014247733,0.733674841309,0.966557180367,0.971313560771,0.527843707109,0.300550998263,0.745731297426,0.427487804958,0.474271483317,0.756184938456,0.615300194973,0.750575123722,0.37852782014,0.304203933614,0.991469392907,0.621189175634,0.663083797705,0.661833178609,0.683577625887,0.780865327859,0.882006898303,0.806728624425,0.823665278693,0.447841684898,0.922190064673,0.792505945984,0.346984672863,0.946486165866,0.296261115609,0.185656960058,0.887597016945,0.984410906149,0.841777685751,0.962561563929,0.8684623405,0.153123930373,0.542500893357,0.871544396037,0.927183112947,0.943559363966,0.993616414552,0.505800953175,0.287228324883,0.71813527917,0.883488121217,0.896555738744,0.536837596698,0.68854646256,0.997170522006
preadipocyte_top100,0.241950700953,0.831250000571,0.623456313743,0.377788072594,0.223317893278,0.0558984390617,0.206695664402,0.673046737472,0.670612733856,0.467159965821,0.645248760236,0.617170839459,0.598577026273,0.986265166063,0.428347741784,0.958150565167,0.991765770632,0.546011668381,0.81495400163,0.464042503197,0.359214460466,0.438006298627,0.471399535787,0.470246045634,0.490402420378,0.765692799926,0.101008375324,0.301089157012,0.0156160214244,0.00493765388924,0.0192430995769,0.975676271263,0.244191996993,0.875203964696,0.780767883424,0.985171338965,0.907037964487,0.686241898496,0.721854802231,0.825948368191,0.755344218233,0.437453140883,0.35548008195,0.747334966269,0.191677450382,0.295085080014,0.671402355712,0.457591348807,0.248968912226,0.633003784132,0.902030425576,0.168548490059,0.118250707569,0.456918342541,0.385402909964,0.522596993623,0.846947184322,0.781739489954,0.881445513774,0.853753918272,0.842297763207,0.926340427072,0.934168332588,0.994190387347,0.969965601981,0.967353598937,0.96286341582,0.609099610623
preadipocyte_top20,0.228009102586,0.455638253013,0.605666693478,0.73601812284300006,0.598339405512,0.980692016513,0.0639247602376,0.891635007081,0.832844139362,0.956767695751,0.935744804035,0.917415556586,0.936358036443,0.654143477093,0.78497699516,0.673113811955,0.71304035192,0.984442409887,0.999401110749,0.765583910117,0.390877872463,0.766152050606,0.910811333324,0.704543916186,0.702643024027,0.88488441234,0.174428677799,0.913308753295,0.692837802604,0.666086377444,0.705366346782,0.670806266771,0.241975325094,0.996064671628,0.889997092132,0.548802509862,0.404312558957,0.745058176333,0.764338820844,0.745887803762,0.883083397169,0.846032600495,0.315026482147,0.863457842019,0.832766292792,0.205652237794,0.977222326829,0.802732333096,0.152195504579,0.684590306431,0.874739771763,0.962205778243,0.979157420863,0.915741950919,0.803372525035,0.577863338853,0.99586547259,0.986870843809,0.996782118857,0.995737333752,0.905469685243,0.60670646659,0.933735919466,0.864116017945,0.945867275342,0.713735183784,0.808787261291,0.934214796937
preadipocyte_top30,0.249119468312,0.511308921401,0.617494610467,0.739578149372,0.25204166656,0.735013790493,0.0776961055399,0.992714534402,0.994350001995,0.988943144392,0.987686072978,0.969503127771,0.978249417801,0.833017032582,0.609060753313,0.732864640726,0.960345837902,0.846449072148,0.998299172591,0.7927705823,0.684426266934,0.644330441724,0.764699913071,0.945995368564,0.937624529416,0.90523461735,0.427604087299,0.971832017719,0.756030886634,0.620843976329,0.749789855384,0.95704207921,0.06753247192,0.9950241769,0.866539417898,0.601436189436,0.479038849318,0.822123865417,0.819113813145,0.748903443574,0.896176868344,0.884641959297,0.441156770113,0.694089963643,0.868269582268,0.321700461072,0.812406935556,0.605613692852,0.371860196844,0.745633354324,0.810578700238,0.780761130313,0.800927098216,0.953590710669,0.700041561047,0.477040752032,0.999975066403,0.989098673688,0.99976183058,0.999828815718,0.996498258453,0.982820957024,0.939002256991,0.958624383865,0.961839515987,0.84115404782,0.874667898263,0.793242311419
