DEGLU4	DEGLU5	DEINH3	MEGLU1	MEGLU10	MEGLU11	MEINH2	TEGLU17	TEGLU23	TEGLU4	TEINH12
lightsalmon1	0.000437156424091666	0.00646728464450211	0.0221848270324947	0.0353722721366026	0.000731349462240807	0.0196124139101604	0.0147370200228729	0.033332292011471	0.00898652579162712	0.181174976448763	0.00354774995832927
lightskyblue2	4.74901235421319e-19	2.81887177551234e-14	5.24002145883904e-15	2.10599813798281e-13	5.23058671764382e-09	6.53792120616373e-14	3.65647915972309e-15	3.05239540379543e-12	5.92205043421696e-11	3.76041957130874e-12	1.14033564916263e-08
mediumaquamarine	2.76498807276561e-14	7.55516268270074e-05	5.79359838018314e-06	1.03757967369942e-05	2.13176373709625e-05	1.88071974497017e-05	3.098004036865e-07	1.63938045685303e-07	1.26524561593509e-08	3.24538187163427e-07	5.41357271834407e-09
mediumorchid3	1.03585664567231e-25	3.47153349354882e-09	2.48222099006895e-12	4.12857436923015e-09	8.8003642513722e-12	1.31207239650397e-13	3.87094694417831e-13	1.44113919244746e-12	1.4679563715882e-14	5.6897314705683e-07	1.45883625375536e-14
mediumseagreen	0.00148164037999038	0.000390055743786005	0.000198730893576579	1.90286200586747e-05	0.00047606684448505	0.00166041409888602	0.000342848091879191	2.84973300248114e-05	6.24785036960898e-05	0.0132214000217962	0.000140123445651894
navajowhite	4.10305725255317e-29	8.48850463142948e-18	1.43310633126761e-18	7.32246450973181e-17	8.91486341853321e-15	5.2510035518568e-16	7.86356688527858e-16	3.73013836242362e-12	1.57520999534582e-11	3.04578764751827e-10	9.63902421685376e-15
navajowhite1	7.63859158571694e-08	0.000289507417225592	0.000168041607264267	0.00152730842494316	0.0447712817316591	0.00651982510880135	0.00360959093075808	1.49074902243455e-05	8.76775410332722e-07	2.62449812226464e-05	3.92104202584861e-05
orange2	0.000141048601405145	9.84696767934505e-06	8.73370542511461e-06	4.59002976007066e-06	0.000667357633760234	3.60492727438457e-05	8.98863429485108e-07	0.000364582594855413	0.00633971486047981	0.000131969706053151	1.14972249194929e-05
orangered1	2.39688561733198e-10	4.88557225343616e-07	9.3307306685707e-11	2.34060216549622e-10	8.11357291960591e-11	3.10297253810214e-11	3.5065204353711e-12	4.85283008234176e-09	1.28652648040846e-08	1.31871231904875e-08	1.38690512019905e-08
orchid	3.57188516700929e-08	0.000493502684038426	0.000158335478345376	0.00035441700063337	0.00469717376905047	0.00595975566470064	2.87657577594373e-05	0.00286612249640854	0.00127685188856093	9.38187258906115e-06	0.0479926896838455
palegreen4	3.39704698576889e-18	1.1611627179831e-13	3.29777997376979e-13	5.21201216560889e-15	2.1679186242822e-11	3.70948470454109e-12	6.02249416009171e-13	4.51869883446737e-08	3.395563606985e-09	6.85446132452442e-10	5.71733320037852e-16
