dataset,annotation,turcot2018_s21_mendelian_obesity_genes.mapped,turcot2018_table1_rare_variants.mapped,yazdi2015_table1_mouse_obesity_genes.mapped,human_psd_genes.pers_hmg2016_table_s12,mouse_psd_genes.pers_hmg2016_table_s13,combined_rare_mendelian_obesity,locke_nearest,locke_associated
Mousebrain,PER3,0.278490765383076,0.430218941728593,0.651076289474399,0.999090936142565,0.999999874810201,0.231313954359044,0.943887134322429,0.98122502537462
Mousebrain,PSNF1,0.304398051470098,0.110583764071065,0.872879890186251,5.21055439615555e-44,5.59136629996055e-30,0.104457290019168,0.681333825662734,0.618639547150993
Mousebrain,PSNF2,0.556398453186806,0.0116068968125846,0.863289188451281,9.65634402177626e-51,3.88294652139849e-31,0.271364592757628,0.241619217190297,0.261036341681841
Mousebrain,PSNF3,0.382452415954651,0.1454516246169,0.928700457791016,5.79461885466438e-49,4.59761352218096e-33,0.163438140356389,0.435757504218854,0.541819784344567
Mousebrain,PSNP1,0.607679101743863,0.505603389829938,0.985000099158754,8.92502436311712e-21,4.82657483426095e-16,0.612764225876288,0.691555708270166,0.353674616158526
Mousebrain,PSNP2,0.249751457952202,0.454852491853564,0.93909338883552,3.43316874478711e-22,4.23717709278842e-15,0.296895769186995,0.66314419220091,0.864186906425874
Mousebrain,PSNP3,0.221163582006145,0.493186065146691,0.992655556765694,9.82617481035916e-21,4.48104290129382e-12,0.272679612258583,0.752728638298018,0.363990070010969
Mousebrain,PSNP4,0.0443576015885447,0.358825795567699,0.939856134064914,8.478403011647e-25,6.50715065469987e-15,0.06308924352505,0.644512170916728,0.782673997343968
Mousebrain,PSNP5,0.539604903032925,0.309801999357263,0.751213728893042,1.60066354291483e-23,8.61929124961576e-16,0.587822492632874,0.717087760853145,0.373220062849058
Mousebrain,PSNP6,0.063564576011428,0.689571635717533,0.98072095830385,3.27527752192597e-16,7.69758785638679e-8,0.15323951883631,0.81686794046925,0.825096561129705
Mousebrain,PSPEP1,0.521619036621901,0.471510124026734,0.711910263620104,6.98878977618486e-42,7.24406952445363e-31,0.529370411003091,0.8861885833631,0.869945262431613
Mousebrain,PSPEP2,0.356803972016809,0.615938898309494,0.668643784863237,6.3251017043041e-32,8.18279469091795e-23,0.445696851004024,0.491851794415843,0.494332197306437
Mousebrain,PSPEP3,0.129466235345596,0.677678312617236,0.363703132495859,2.3190670150215e-28,5.18548997788177e-22,0.258434401539638,0.545036503950603,0.485317651560069
Mousebrain,PSPEP4,0.332980164330653,0.567401865556366,0.397016473867778,1.85530163007714e-27,4.79609634214337e-21,0.399573872122092,0.393617110714539,0.516090528651237
Mousebrain,PSPEP5,0.0984140302444821,0.852112548601991,0.700169417160381,2.92706592424035e-33,3.02201801764571e-21,0.222129829276146,0.546343193862792,0.399768639064362
Mousebrain,PSPEP6,0.430398762054593,0.667315120970893,0.384618759135196,1.82552528320948e-33,1.94845286291792e-28,0.599893241883303,0.854468749886209,0.983421024932795
Mousebrain,PSPEP7,0.558595217453247,0.730925377940788,0.667375161674435,3.91489622826124e-31,4.16443673226043e-25,0.61265172077229,0.770681331607106,0.668433204980362
Mousebrain,PSPEP8,0.470147340632732,0.14623489283923,0.767821423706828,1.80626529717887e-44,1.72998079265907e-28,0.333887752441423,0.387854968268813,0.203850325630492
Mousebrain,PVM1,0.999311087741853,0.867359948605102,0.948914217205707,0.999781279948403,0.999966504302239,0.999422086760003,0.914955440247113,0.834026536545567
Mousebrain,PVM2,0.99830550337692,0.835948570196642,0.836687077212013,0.999959999153348,0.999986584359609,0.998435230275903,0.758258423760998,0.75186181565211
Mousebrain,RGDG,0.59052140552804,0.924256384658499,0.234107462350198,0.974059658444341,0.996500929966576,0.790390984667375,0.90342954190126,0.770870701869197
Mousebrain,RGSZ,0.582012364658996,0.552635972355256,0.607732016491508,0.995784431835606,0.999999336439385,0.546050881128299,0.865306000107343,0.350013552683853
Mousebrain,SATG1,0.198923974565573,0.930096795295527,0.814808425433057,0.00462621490799683,0.230042676769461,0.449082972812497,0.7587671505105,0.582219091566125
Mousebrain,SATG2,0.848492548805511,0.903443586806919,0.0665167728734298,0.00584858885912538,0.244853528539287,0.92026358447955,0.571456751042303,0.754224269663369
Mousebrain,SCGLU1,0.051001220736015,0.304947223471165,0.103078232506562,5.79215422051885e-30,4.56680615752882e-30,0.0341731627627748,0.0861373352697527,0.0461621333279042
Mousebrain,SCGLU10,0.238338532241652,0.320043018899051,0.304909737202152,1.8092558787212e-21,1.45019258208794e-24,0.163992363500534,0.506784405495675,0.169955864096056
Mousebrain,SCGLU2,0.38900362288135,0.0739626833229551,0.256296126829682,5.64633367289327e-36,1.41131461662158e-36,0.247354358006562,0.122533580042834,0.0446593911812886
Mousebrain,SCGLU3,0.0334054685420913,0.0462485775952756,0.284654638517118,2.49640239016182e-26,2.46491508489701e-25,0.0139784882185938,0.0992663837258659,0.0902120395067483
Mousebrain,SCGLU4,0.324559320334725,0.0105453679071555,0.626889839175917,1.91031854888021e-23,7.70752546631159e-29,0.160370968588861,0.109745462254655,0.203680409483826
Mousebrain,SCGLU5,0.440599353113669,0.183388873045169,0.582675771585663,2.29668327826944e-9,1.75662997125042e-8,0.230237393946736,0.488856777450771,0.583220884657753
Mousebrain,SCGLU6,0.41048743749794,0.378109719990762,0.374854208991494,0.0149273885508933,0.00162600310302896,0.31628055998414,0.0306212110633888,0.137277951425039
Mousebrain,SCGLU7,0.336264159645562,0.52706067711822,0.562606417489121,1.85586958579956e-4,5.33565565717151e-5,0.333023399810902,0.0264247150903579,0.273494426648942
Mousebrain,SCGLU8,0.0144590463866002,0.631270738161415,0.947176643755635,1.7026765828566e-9,2.67522050072828e-8,0.0307372912861161,0.157743024744588,0.284924408657203
Mousebrain,SCGLU9,0.0972821366559138,0.689060344690998,0.647949470324622,5.47219216382308e-7,5.55614805981753e-8,0.154591640272342,0.550311675038992,0.526961033463976
