Name	Coefficient	Coefficient_std_error	Coefficient_P_value
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__antiquewhite3	2.64960971535e-08	4.57948139834e-08	0.281435316413
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__wheat	3.54788308586e-08	6.26231979785e-08	0.285511832176
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__deepskyblue2	1.36077759053e-08	2.64555416245e-08	0.303498792337
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__navy	5.07537457519e-08	1.00666719368e-07	0.307068845586
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__brown1	4.38844181523e-08	8.81981596986e-08	0.309394936084
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__darkorange2	1.69552245615e-08	3.55172321513e-08	0.316545693685
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__khaki1	1.34111005592e-08	2.81219032237e-08	0.316719642525
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__aquamarine3	2.57855411848e-08	5.48875353634e-08	0.319253011814
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__lemonchiffon4	1.83046651677e-08	3.92791029007e-08	0.320602254047
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__darkolivegreen2	1.09588950363e-08	2.41462184014e-08	0.324966402081
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__purple4	2.67017122225e-08	5.95276829203e-08	0.326874700071
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__cyan	1.39750160039e-08	3.12105205459e-08	0.327160971745
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__deeppink2	2.14494081674e-08	4.79063360581e-08	0.327171741355
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__lightcyan4	5.64944083692e-08	1.33658304996e-07	0.336265149983
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__lightgoldenrod	2.00691141776e-08	4.76240532564e-08	0.336728917717
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__magenta	1.31289190192e-08	3.13742104737e-08	0.337804633682
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__turquoise1	1.02232371626e-08	2.56075782406e-08	0.344862967653
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__cyan2	1.15216230469e-08	3.08904799565e-08	0.354580558371
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__seagreen4	1.37251613987e-08	3.72045571351e-08	0.356097121929
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__mediumorchid	8.98440376575e-09	2.45223018584e-08	0.357041944984
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__firebrick4	2.08893724342e-08	5.75501557276e-08	0.358311100588
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__snow	1.3441223429e-08	3.8098511804e-08	0.362118518228
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__pink2	1.27306701887e-08	3.66883484353e-08	0.364297571099
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__deeppink3	1.03915926445e-08	3.11225645215e-08	0.369230318277
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__burlywood1	2.81501548071e-08	8.61229422225e-08	0.371886844537
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__cornflowerblue	1.31079455727e-08	4.05532113913e-08	0.373261175017
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__steelblue	7.95234873146e-09	2.53348735623e-08	0.376802513653
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__deepskyblue1	1.04620584512e-08	3.37867535166e-08	0.378413674638
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__yellow3	1.42230272441e-08	4.6279907199e-08	0.379297553995
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__mediumvioletred	1.29446298149e-08	4.23146936057e-08	0.379835309298
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__orangered4	1.12158295581e-08	3.89021677849e-08	0.386555262072
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__lemonchiffon	7.99329675603e-09	2.90941663919e-08	0.391758454632
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__wheat3	6.39279889814e-09	2.38788000081e-08	0.39445796593
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__lavenderblush2	1.19898537682e-08	4.63476758565e-08	0.397935773638
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__hotpink1	1.15832256667e-08	4.60550444998e-08	0.400710575326
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__lemonchiffon3	6.72977029587e-09	2.7182483784e-08	0.402230676034
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__darkseagreen2	8.04496901428e-09	3.28183847711e-08	0.403175547531
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__navyblue	6.23962043642e-09	2.63321041747e-08	0.40634442609
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__rosybrown2	1.09289963802e-08	4.77403553708e-08	0.409463315443
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__royalblue2	8.49043111998e-09	3.87678483376e-08	0.413322287825
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__palegreen3	2.5481965589e-09	1.17992996277e-08	0.414508809194
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__palegreen2	3.91495642607e-09	1.81865403289e-08	0.414779697312
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__plum3	8.05258368829e-09	4.07638729133e-08	0.421701644478
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__navajowhite1	1.13118614903e-08	5.77091217106e-08	0.42229915848
