dataset,annotation,turcot2018_s21_mendelian_obesity_genes.mapped,turcot2018_table1_rare_variants.mapped,yazdi2015_table1_mouse_obesity_genes.mapped,human_psd_genes.pers_hmg2016_table_s12,mouse_psd_genes.pers_hmg2016_table_s13,combined_rare_mendelian_obesity,locke_nearest,locke_associated
Mousebrain,MBDOP2,0.0607067396926153,0.032891795480503,0.296657644176919,8.86158052710148e-14,5.55723356259775e-17,0.00754260726273167,4.97297133653917e-5,0.00139955530534213
Mousebrain,MEGLU1,0.00214725244562198,4.69507770611977e-4,0.17028327244768,1.84744228847963e-20,1.58610466004184e-21,1.12587973469344e-4,8.60352354661135e-5,4.17679739587244e-4
Mousebrain,MEGLU10,0.00148016127151509,0.0144097882137143,0.0576943520100536,3.25611341699928e-11,5.71400070168069e-19,6.91694362497106e-4,0.00128930674719266,0.00518800297529531
Mousebrain,MEGLU11,0.0195364004897204,0.0116770106302429,0.640424888371533,6.8368700527039e-18,1.89993518529816e-23,0.00269391277378913,1.10359426374287e-4,6.50608173773694e-4
Mousebrain,MEGLU14,4.98198166302305e-4,2.0398071117217e-4,0.0127735912365903,4.03951007576005e-7,3.39401216866573e-11,5.43689368174929e-6,0.0942860278397536,0.0888144288664697
Mousebrain,MEGLU2,5.42749895766823e-5,1.50016715762984e-4,0.0123303989252488,3.18386808628495e-16,3.49664491427851e-19,1.44939767246241e-6,0.00272070761915584,9.98101966000942e-5
Mousebrain,MEGLU3,0.0222063480984076,1.76431196435634e-5,0.544379783407365,1.83377542948438e-5,2.68896961895823e-7,7.71052700553464e-4,0.00160857149260753,0.00660155319668878
Mousebrain,MEGLU4,0.0476210026590012,0.0857732328172421,0.645174774592111,1.22708926895754e-9,6.86830336797198e-19,0.0281593649543424,0.0772442192581222,0.141474638646313
Mousebrain,MEGLU5,0.001410795472427,0.497028133359312,0.555314538690703,4.84864274648376e-18,9.89961515948879e-20,0.00700932306842976,0.0655943438799989,0.187238846465435
Mousebrain,MEGLU6,0.00313812175565629,0.0030761994132943,0.283407234502656,1.39830564162439e-29,1.80530492834441e-44,1.50829185935757e-4,0.00275148443980069,0.00295044017032207
Mousebrain,MEGLU7,0.17772824628851,0.0655861892819137,0.704598085017213,1.46885082340024e-10,1.74251975770457e-21,0.0932719805260305,0.115305082263427,0.0125761615347849
Mousebrain,MEGLU8,0.15041876307565,0.134203451213419,0.0290253816816357,6.27003822060163e-12,1.82394018030195e-29,0.104055036360976,7.96587605280586e-4,0.0416294544857847
Mousebrain,MEGLU9,0.00279856900802885,0.0350761281289332,0.108918379439003,1.53362491497603e-11,5.36977216399885e-20,8.41948288680582e-4,0.0134002900178985,0.0677151504553712
Mousebrain,MEINH1,0.502084235480878,0.844275745976287,0.937389609401212,3.02442810551812e-4,8.82716531557897e-7,0.66687884521185,0.203247640777645,0.134842284154571
Mousebrain,MEINH10,0.0247252441653186,0.0388717538315227,0.213478584622979,2.71468938231955e-10,2.42278523815876e-14,0.0178585782433972,0.0281523163976143,0.0288351227560163
Mousebrain,MEINH11,0.0335400131496998,0.24043570374551,0.202633432290806,0.00167628447717561,2.78348431931993e-4,0.0188396376358105,0.0632245123293211,0.0196153679067035
Mousebrain,MEINH12,0.00114389087610842,0.00437900506434087,0.0108122037969127,0.00362440163486502,6.92984840081649e-5,8.28679364590676e-4,0.0195214603287569,0.0198026490249627
Mousebrain,MEINH13,0.0144379827633901,1.57181466965359e-4,0.00477752853872063,1.13853235916292e-10,3.98666088658232e-15,2.10301015291757e-4,9.48287255029359e-5,2.94475684129703e-6
Mousebrain,MEINH14,0.00136131766595485,0.0747964424074777,0.121281671431738,0.776754985963507,0.685786543466496,0.00216401648558672,0.0529589398157297,0.0118339847908223
Mousebrain,MEINH2,0.0109773411567009,5.91694402218895e-5,0.0423136445292355,2.07230243738158e-31,3.8113648292586e-31,3.15538591553539e-4,3.57136515036119e-4,5.14432536539299e-4
Mousebrain,MEINH3,0.0500914579565231,0.0035314233683171,0.0987398908847584,7.98595960956447e-27,1.17043961102071e-27,0.0110599148814304,0.00692589414436126,0.0025713282152869
Mousebrain,MEINH4,3.12738203472238e-4,2.79982404500422e-4,0.0017014426128787,1.2550161909962e-16,3.55737973200417e-19,2.0658535144398e-5,0.00802218972320697,0.0094345513373161
Mousebrain,MEINH5,0.00141338018942009,0.213711568147319,0.0191957185475317,2.47622575186649e-9,1.08255378416566e-8,0.00273649159222401,0.00383518288145887,0.00410085927086131
Mousebrain,MEINH6,0.159468260987335,0.167899016073968,0.74722906745094,3.09731470756456e-10,3.65489329601315e-13,0.0674562670305572,0.0240892921678147,0.00140872095632219
Mousebrain,MEINH7,0.124903697566177,0.0220247075409688,0.499774247806667,1.90057242305795e-12,1.73139217352692e-11,0.0395401073630749,6.35372815779435e-5,2.79916341225412e-4
Mousebrain,MEINH8,0.0673919959110997,0.0854726441944974,0.109619717350322,0.887887664933442,0.218246829679155,0.0472201779401778,0.0212987827751402,0.0204783246933804
Mousebrain,MEINH9,2.09119452114193e-4,0.0048264528409944,0.197326001931258,6.95671515762119e-6,4.19877869560278e-6,5.39508910692566e-5,0.00396528540332448,0.00497449851382126
Mousebrain,MFOL1,0.995430386159399,0.111744289804428,0.767767532326238,0.80886868078547,0.984448462352933,0.935821489804784,0.533024591906091,0.808682418056097
Mousebrain,MFOL2,0.986764641125113,0.16183836003121,0.955268360240785,0.607574058595104,0.995324454148489,0.905506568369298,0.539872627643818,0.866261886012345
Mousebrain,MGL1,0.973916953624467,0.845039873739398,0.745684163074238,0.999993035537802,0.999995015476394,0.981600066677742,0.57555754326901,0.20941085884481
Mousebrain,MGL2,0.883836509933663,0.83534032824664906,0.219807585209342,0.999995892338537,0.999975749296179,0.92008861768175,0.823807378485577,0.305224230884219
Mousebrain,MGL3,0.937828770703656,0.836081192242494,0.434050762513319,0.99993447305467,0.999977207089134,0.95651081814589,0.968749849998545,0.437663564342834
Mousebrain,MOL1,0.996988403616975,0.129414861836217,0.992302494019445,0.520669001932182,0.973270733112459,0.956674408900687,0.68298956804526,0.729600072611566
Mousebrain,MOL2,0.994951420006671,0.207039212280056,0.953557589443276,0.49443928442549,0.965547380376475,0.956053030699942,0.841703516919438,0.956847080888082
Mousebrain,MOL3,0.938706030055885,0.4010630153559,0.996739092024694,0.307396607040427,0.895872821195646,0.862583759600106,0.883440999434495,0.891217123128742
Mousebrain,MSN1,0.00447229883954842,0.29698775576826,0.562729821677936,3.71578185145709e-10,2.94824466968295e-24,0.00767586140329774,0.563663629445987,0.095097710061085
Mousebrain,MSN2,0.0166178869516737,0.0756946436929997,0.492218421913928,1.14737920079623e-8,6.74469759038426e-24,0.0075655485100663104,0.158452300465715,0.0692068642799286
Mousebrain,MSN3,0.0221838391709049,0.0886683435334214,0.210232630057619,2.6465008099073e-7,2.44605733236016e-19,0.0276707060295955,0.510725530063241,0.554069667702478
Mousebrain,MSN4,0.0278262553191772,0.0898682735138996,0.0989939221954404,1.5803675942441e-10,1.12875699961923e-21,0.0356642082449326,0.306227762346307,0.29692155938250703
Mousebrain,MSN5,0.317597761018916,0.163137402985669,0.909868970692984,6.18716146201808e-7,7.65988516648178e-16,0.41704537542241,0.338014754380319,0.518597296635033
Mousebrain,MSN6,0.511949216177362,0.0497181731921656,0.55815997756938,0.165024400407551,0.00166169410904535,0.327491275042877,0.446720647760904,0.231323053993233
